vowel,speaker_1,speaker_2,overlap_coefficient,bhattacharyya_coefficient,hellinger_distance
i,713a2f9b-Audio_SP16,a452055c-Audio_SP11,0.7570225596427917,0.9422272443771362,0.24035963809022465
i,7dec1dd7-Audio_SP13,c3533b36-Audio_SP16,0.7557457089424133,0.9351626038551331,0.2546318835983957
i,0e6115f2-Audio_SP19,7a414497-Audio_SP15,0.7542371153831482,0.9408754706382751,0.24315536054490933
i,a452055c-Audio_SP11,fcd45f4d-Audio_SP21,0.7496575713157654,0.9280484914779663,0.26823778354667654
i,5278b5b9-Audio_SP15,85c7895f-Audio_SP16,0.7455361485481262,0.9317796230316162,0.2611903079526187
i,5586979c-Audio_SP18,7dec1dd7-Audio_SP13,0.744970977306366,0.9428218007087708,0.23911963384722143
i,5586979c-Audio_SP18,63239054-Audio_SP15,0.741628885269165,0.9241592884063721,0.2753919236172839
i,0f786745-Audio_SP20,5586979c-Audio_SP18,0.7411066889762878,0.9235805869102478,0.2764406140380827
i,713a2f9b-Audio_SP16,7dec1dd7-Audio_SP13,0.7335954308509827,0.9187178015708923,0.28510033046123895
i,7a414497-Audio_SP15,adad0062-Audio_SP17,0.7319074869155884,0.9312724471092224,0.26215940359021567
i,061ea7d0-Audio_SP16,0f786745-Audio_SP20,0.7299681901931763,0.9231477379798889,0.27722240533569986
i,713a2f9b-Audio_SP16,919b9bc1-Audio_SP14,0.7291708588600159,0.9324999451637268,0.25980772666776714
i,1c403477-Audio_SP13,adad0062-Audio_SP17,0.7289431691169739,0.9146745800971985,0.2921051521332712
i,0af9ac47-Audio_SP14,adad0062-Audio_SP17,0.7255562543869019,0.9224429726600647,0.2784906234327025
i,49ae7020-Audio_SP17,7aee4437-Audio_SP12,0.7228680849075317,0.9006030559539795,0.31527280892271775
i,cafd9c21-Audio_SP27,fcd45f4d-Audio_SP21,0.721832811832428,0.9034953713417053,0.31065194133997404
i,0f786745-Audio_SP20,5a932187-audio_SP16,0.7215668559074402,0.9180276393890381,0.2863081567314524
