vowel,speaker,n_retained_tokens,n_fit_tokens,bandwidth,mean_self_log_density,median_self_log_density,peak_log_density_grid,peak_x_standardized,peak_y_standardized,peak_z_standardized,peak_x_original,peak_y_original,peak_z_original,hdr_50_volume,hdr_50_actual_mass,hdr_50_mass_per_volume,hdr_80_volume,hdr_80_actual_mass,hdr_80_mass_per_volume,hdr_95_volume,hdr_95_actual_mass,hdr_95_mass_per_volume,dominant_grid_volume,own_mass_in_dominant_region,equal_prior_posterior_at_own_peak
a,34ad326e-Audio_SP7,471,471,0.2,-2.318305712139533,-2.155017675443294,-0.9867695767191287,0.8504760835160212,-0.5241929487793606,-0.40805059538220156,638.9792920747456,1343.0900228280475,2431.547170005147,3.4636561381697257,0.5001081824302673,0.14435613122502725,9.91910801307736,0.8000237345695496,0.08065241339697879,22.42842844252512,0.9500210285186768,0.04235695793106775,9.778553850948732,0.29931378,0.03965958
a,51a17262-Audio_SP18,726,726,0.2,-2.2367298614986506,-2.0789965921267397,-0.5529920492304801,1.6018802534241328,0.41181172343738437,0.6197208651471859,745.6107515619569,1802.7986975413328,2914.5069303315095,2.6404103314163416,0.500717043876648,0.18936450674005476,10.139978839279486,0.800041675567627,0.07889562815466836,25.42022417926303,0.9500083923339844,0.037371818332545555,9.437208028636354,0.3015271,0.25026813
a,42d56bbf-Audio_SP23,2356,1000,0.2,-2.478015877740169,-2.1090605931876723,-0.605270907007105,0.6000080268799839,-0.3681921700765698,-0.6649934605145482,603.4354722456751,1419.7081352802618,2310.8072299235564,2.5600936673428407,0.5002315640449524,0.19530535401033097,10.310651750435676,0.8001164197921753,0.07758966352114414,25.942282495740784,0.9500404000282288,0.036619753876937056,9.40708927960879,0.08876914,0.062972024
a,f061152e-Audio_SP12,912,912,0.2,-2.5570461654256667,-2.497972068355199,-1.0843958043154884,2.102816366696207,0.25581094473459354,0.3627780000148393,816.6983912200977,1726.1805850891185,2793.7669902499188,3.895358207564793,0.5002295970916748,0.12835790018720206,11.053580893115559,0.8000543117523193,0.07237473609102184,23.111120087149878,0.9500256180763245,0.04110575326585811,6.887153944302701,0.118597075,0.15395834
a,a1a056ce-Audio_SP11,469,469,0.2,-2.420024713488693,-2.2180881732023634,-1.1887439985961625,-0.15139614302812743,-1.4601976209961058,-1.9497077861762828,496.80401275846384,883.3813481147622,1707.1075295156033,3.86523945853723,0.5006608366966248,0.12935809161723222,11.224253804271749,0.8000398278236389,0.07127422579267893,23.763692982747074,0.9500060081481934,0.03997695142290045,7.3590143457345185,0.31312394,0.49376318
a,514fc6b6-Audio_SP19,1228,1000,0.2,-2.754858268534943,-2.5413441441853246,-1.2245334070968803,2.102816366696207,0.41181172343738437,1.1336065954118792,816.6983912200977,1802.7986975413328,3155.9868104946904,4.166426948812858,0.5000424981117249,0.1200069042714082,13.302447487173584,0.800117015838623,0.06013930900846418,29.094711560625694,0.9500312209129333,0.03265198206280378,8.352933063644091,0.23401381,0.23842204
a,7aee4437-Audio_SP12,504,504,0.2,-2.652731126306487,-2.554114815936166,-1.5921711294181438,3.60562470651243,0.0998101660318027,0.10583513488249219,1029.9613101945204,1649.5624726369042,2673.027050168328,5.732601898246125,0.5003014802932739,0.08722042954927216,13.734149556568651,0.8001750707626343,0.05824896523115135,24.02472214098595,0.9500471353530884,0.03954260092687228,14.28632662207397,0.2741665,0.4427837
o,adad0062-Audio_SP17,713,713,0.2,-1.1905123426782096,-0.8810168529691955,-0.15852845417863481,-0.015070340371866386,-1.1637070834930436,-1.0153848001484325,516.1499518484483,1028.9995016414578,2146.1549468928047,1.0243141913698364,0.5013755559921265,0.4881314778342959,2.9403842669910594,0.8003762364387512,0.2720732827273125,7.604026526521961,0.95001620054245,0.12493380930307256,2.2534912210136397,0.3474413,0.12305373
o,0af9ac47-Audio_SP14,861,861,0.2,-1.2175988739916945,-0.9480587782794201,-0.0917436780385964,0.539585845699547,-0.7562951794016977,-0.7754080308574021,594.8609851418058,1229.0954969410186,2258.9223542705045,1.0604664569475952,0.5016064643859863,0.47149063199903585,3.1392217276687338,0.8004260659217834,0.25484023410926776,7.682356435273772,0.950005829334259,0.1236599743846883,3.000638042953991,0.5770616,0.2365523
o,375a28cd-Audio_SP16,997,997,0.2,-1.3545602798794356,-0.925729962585546,-0.06405150290938287,-0.38484113108614193,-1.2995110515234922,-0.5354312615663717,463.67592965287656,962.3008365416042,2371.6897616482042,1.0664918345438883,0.5002517700195312,0.4688268431176854,3.6694549561425314,0.8002032041549683,0.21801602950891377,9.965974544268878,0.9500129818916321,0.09532434542955114,1.2773800504141488,0.21693394,0.11067907
o,49ae7020-Audio_SP17,564,564,0.2,-1.5245541317306888,-1.1901644431840772,-0.3572861804940796,0.3547004503424094,-1.1637070834930436,0.18449904630671998,568.62397404402,1028.9995016414578,2709.991983781303,1.3436592039733735,0.50091552734375,0.37211816695888034,4.1032821430756385,0.8001147508621216,0.19496587660929293,10.911958826886904,0.9500261545181274,0.08706044579816541,2.3137449969765713,0.25396433,0.10954139
