block,feature,n_speakers,pearson_hz,pearson_hz_p,pearson_hz_ci_low,pearson_hz_ci_high,pearson_lobanov,pearson_lobanov_p,pearson_lobanov_ci_low,pearson_lobanov_ci_high,pearson_difference,pearson_difference_ci_low,pearson_difference_ci_high,pearson_probability_lobanov_higher,spearman_hz,spearman_hz_p,spearman_hz_ci_low,spearman_hz_ci_high,spearman_lobanov,spearman_lobanov_p,spearman_lobanov_ci_low,spearman_lobanov_ci_high,spearman_difference,spearman_difference_ci_low,spearman_difference_ci_high,spearman_probability_lobanov_higher,pearson_hz_q,pearson_lobanov_q,spearman_hz_q,spearman_lobanov_q
Geometry,geometry_a_o,43,0.9007013842374542,1.9546516385253736e-16,0.8261178142836908,0.9568101919719075,0.855590676870864,2.7076710302655396e-13,0.7375567531338386,0.9360926937105599,-0.045110707366590175,-0.1384310134460656,0.03250194945087198,0.1286,0.9101479915433404,2.760021832525883e-17,0.8180407680857693,0.9499304143085159,0.8563877982482634,2.4364646457911716e-13,0.7008832226171655,0.9398472609838934,-0.053760193295076975,-0.19848940457539704,0.061441259306253354,0.1934,2.2995901629710276e-16,6.017046733923421e-13,3.942888332179833e-17,1.624309763860781e-12
Geometry,geometry_a_u,43,0.8321404738683831,4.681342796879803e-12,0.6906119514762301,0.9164651959380128,0.5651257335148898,7.871138423652671e-05,0.32065125072079387,0.7462273445639543,-0.26701474035349326,-0.4600538086600626,-0.11980643171712456,0.0,0.8171247357293868,2.329594232842966e-11,0.6594250335834535,0.9094837696928862,0.5182724252491694,0.0003708600812191457,0.21696267463106275,0.7423053643035485,-0.29885231048021743,-0.5645328130138632,-0.0726348945753916,0.0034,5.201491996533115e-12,7.871138423652671e-05,2.5884380364921846e-11,0.0003708600812191457
Geometry,geometry_e_a,43,0.9398190639357368,9.920738581477806e-21,0.7661459783286058,0.978962362362388,0.8945872138292732,6.268342325544532e-16,0.8113559310597226,0.9444433754496183,-0.04523185010646358,-0.11032119414631257,0.10060627590513206,0.1396,0.8393234672304439,2.0527882852063526e-12,0.6827990026679582,0.9325068189692651,0.865901540320145,6.569429159334714e-14,0.7439537847973284,0.9289524433683737,0.02657807308970106,-0.09971115379233453,0.16497681405613818,0.645,1.5262674740735087e-20,4.178894883696355e-15,2.415045041419238e-12,6.569429159334714e-13
Geometry,geometry_e_o,43,0.951077934977159,1.5816200603799205e-22,0.9141966114483493,0.9791857793201416,0.9317292954414275,1.218406363554361e-19,0.870946487882022,0.9659810346459948,-0.019348639535731516,-0.06536212820100314,0.005246390795289348,0.0586,0.9435215946843855,2.7962967230395865e-21,0.8775608249624078,0.9688209474799455,0.8953488372093023,5.442807987768573e-16,0.7727848100142074,0.9547554105996641,-0.048172757475083205,-0.15418249532396464,0.02694715131107985,0.1154,2.875672837054401e-22,2.4368127271087217e-18,7.989419208684533e-21,1.0885615975537144e-14
Geometry,geometry_e_u,43,0.9149027256728666,9.481090953642112e-18,0.8659686448906945,0.9495043114123146,0.675655858483972,6.656838306176673e-07,0.4784621187084656,0.8031811580575836,-0.23924686718889454,-0.4112482490947207,-0.1272672985304724,0.0,0.9296285110238599,2.222601178309453e-19,0.8444389342606489,0.9642697632073521,0.6609785563273936,1.4048608868024541e-06,0.4120850460292595,0.8196514351548171,-0.26864995469646635,-0.5007244493678403,-0.09988516100622039,0.0002,1.354441564806016e-17,7.831574477854909e-07,4.445202356618906e-19,2.006944124003506e-06
Geometry,geometry_i_a,43,0.9593960766581687,3.7513123527511624e-24,0.8995457660557263,0.983049589285977,0.7429959834680105,1.1598468125682733e-08,0.5628699754360695,0.8691538220164681,-0.21640009319015818,-0.37533434003939875,-0.0948126076083926,0.0,0.9329507701600724,8.51429751391667e-20,0.8419265266947215,0.9739415160937314,0.7740863787375415,1.1412753623785792e-09,0.5822041145504627,0.9011437349715422,-0.15886439142253095,-0.3361240485298633,-0.013153586887097005,0.016,1.071803529357475e-23,1.7843797116434974e-08,2.1285743784791676e-19,2.2825507247571583e-09
Geometry,geometry_i_e,43,0.9052445651683945,7.821864800592446e-17,0.8048193882214015,0.9558087284427527,0.856904580489335,2.274559043182261e-13,0.7488093556642523,0.9189287559721908,-0.04833998467905942,-0.17339522094213353,0.07059761274651885,0.1776,0.888100271821202,2.001153273238259e-15,0.764259964537682,0.9542544647946689,0.7949260042283297,1.945314296008414e-10,0.614550341423017,0.8939914376167175,-0.09317426759287228,-0.28830979615036567,0.07508135926738828,0.142,1.0429153067456594e-16,5.686397607955652e-13,2.5677614917535497e-15,4.322920657796475e-10
Geometry,geometry_i_o,43,0.9666681711851735,7.030995015528324e-26,0.9184403618883189,0.9871347214280607,0.8605326705309458,1.392869098157263e-13,0.75535129460535,0.9170622157782156,-0.10613550065422761,-0.21418575635846887,-0.03364786356049341,0.0022,0.9323467230443975,1.0173750148458611e-19,0.8426502213967765,0.9741263383337345,0.8489882210812444,6.33925391440301e-13,0.7145621648464358,0.9221853864940098,-0.08335850196315309,-0.22145413884428064,0.034648360125944785,0.0768,3.515497507764162e-25,3.9796259947350377e-13,2.260833366324136e-19,2.1130846381343364e-12
Geometry,geometry_i_u,43,0.9425459958721885,3.935642014784348e-21,0.8907974483268587,0.9696274644089758,0.6984400741746891,1.9138609208754515e-07,0.4693823825337626,0.843205330456676,-0.24410592169749934,-0.48148393973149933,-0.09118786584397015,0.0,0.9178495922681968,4.7364881518934485e-18,0.8209011103334486,0.9609483637697736,0.5993657505285412,2.1675253977837024e-05,0.32176371830713507,0.7945363620185013,-0.3184838417396556,-0.590212176139859,-0.10427240927497775,0.0006,6.5594033579739134e-21,2.3923261510943143e-07,7.286904849066844e-18,2.550029879745532e-05
Geometry,geometry_o_u,43,0.5835082343353611,4.01043995622116e-05,0.25633971733847344,0.7833581357559732,0.7168179483063672,6.420723153877774e-08,0.5162931521480323,0.8488447754900242,0.1333097139710061,-0.10198727038254309,0.4374317793492053,0.8588,0.42645726366656606,0.004349513933277694,0.11089687474785427,0.6929020460123568,0.6871035940803383,3.6085085752681e-07,0.4353152982538648,0.8515424189786912,0.2606463304137722,-0.07374970264509295,0.604095424294956,0.9372,4.01043995622116e-05,9.17246164839682e-08,0.004349513933277694,5.551551654258616e-07
