audio,half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
a452055c-Audio_SP11,H1,2127,5,134,141849.05859131998,632.7206940197254,148.0520521055491,3.5273887916461746,0.850138067852831,176.2097371872048,0.1851695387013655
a452055c-Audio_SP11,H2,1864,5,89,132938.6137177966,623.133769816938,72.15500052896502,3.155431564090162,0.3783556176977199,193.10253589484475,0.1846150170934901
adad0062-Audio_SP17,H1,2140,5,103,114487.17878209964,625.6244477127709,73.95713294161516,3.063977338736421,0.3123776586275934,203.2408369486604,0.1399582628670965
adad0062-Audio_SP17,H2,1752,5,106,109384.9647586384,588.4185233325521,63.64623027913096,2.794065975224749,0.2332743008960708,212.5253965835208,0.1350474433523666
c3533b36-Audio_SP16,H1,1134,5,66,168141.11096189742,649.8426127252841,180.1603622448254,3.378900358640533,0.8677959778974909,190.9675091063597,0.1482405551625894
c3533b36-Audio_SP16,H2,889,5,42,147421.35761168256,651.3606757232152,114.10404661425704,3.3299392837081028,0.6572051779334315,193.3914236457092,0.1348302608654923
cafd9c21-Audio_SP27,H1,2617,5,101,137652.50734045322,600.8979091678588,197.50894497789707,3.711961538906189,1.2756232372422336,161.3576165818322,0.1382091263669486
cafd9c21-Audio_SP27,H2,2580,5,105,132663.1635348532,567.4453372726597,188.4367085873305,3.3464116535844624,1.0903004001187857,167.82666669165818,0.1401108937127854
d4c363bf-Audio_SP13,H1,1779,5,68,161387.05226287054,803.988304003911,145.34168461813042,3.4489300226254485,0.5331535136458726,230.8491189480113,0.1806809640349029
d4c363bf-Audio_SP13,H2,1757,5,85,193012.7330043388,825.4099586102673,142.7544426722316,3.282594116884406,0.5142744925997634,248.33545393701192,0.1643774883044184
dbeec025-Audio_SP13,H1,1494,5,87,110807.43812700978,518.6511093794562,138.02743631092014,2.8413122843691228,0.721038218815047,178.50401636383785,0.13175384475413
dbeec025-Audio_SP13,H2,1318,5,64,103987.20046809588,550.3697198515877,144.48289892251046,2.573985118047928,0.6836059652434893,205.7912309246899,0.0909472923876872
e90f8e4d-Audio_SP22,H1,1390,5,53,192931.8971175758,809.4711507777308,242.96029082103277,3.427226795297115,0.8998599959155886,232.1864639120854,0.1686746227682592
e90f8e4d-Audio_SP22,H2,1208,5,74,224041.0196571056,837.9510213569835,203.64761316821267,3.671134442854073,1.0026704472096486,227.05755067841372,0.1445817782744912
f061152e-Audio_SP12,H1,1372,5,51,229431.87684411684,737.0743854526988,280.3039032578812,2.928436846180841,1.168434513645246,244.63036147358952,0.1042813060328081
f061152e-Audio_SP12,H2,1566,5,59,228012.34484708024,722.5743791722699,249.5467038212242,2.9116569762171607,1.0294315127938871,244.3880802898297,0.1149160804777589
fcd45f4d-Audio_SP21,H1,1542,5,67,115679.89681321169,642.7378185701135,154.3997011377014,3.980184084518744,1.1309924786595955,158.59045967509286,0.1763391914747817
fcd45f4d-Audio_SP21,H2,1028,5,56,101720.3713272493,662.4996585892873,201.618123779453,3.498170853062052,0.929641248126666,185.96814546481383,0.1405630400702609
