audio,short_label,n_tokens_H1,n_tokens_H2,min_tokens_per_vowel_H1,min_tokens_per_vowel_H2,vowel_space_area_H1,vowel_space_area_H2,vowel_space_area_diff_H2_minus_H1,silhouette_H1,silhouette_H2,silhouette_diff_H2_minus_H1,mean_pairwise_separation_H1,mean_pairwise_separation_H2,mean_pairwise_separation_diff_H2_minus_H1,mean_within_vowel_dispersion_H1,mean_within_vowel_dispersion_H2,mean_within_vowel_dispersion_diff_H2_minus_H1,mean_centroid_shift,median_centroid_shift,max_centroid_shift,distance_matrix_correlation,classification_accuracy_mean,mean_region_overlap_H1,mean_region_overlap_H2,mean_region_overlap_diff_H2_minus_H1,most_overlapped_vowel_H1,most_overlapped_vowel_H1_percent,most_overlapped_vowel_H2,most_overlapped_vowel_H2_percent,top_pair_H1,top_pair_H1_jaccard,top_pair_H2,top_pair_H2_jaccard
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,1851,1516,53,53,96101.31270691771,89494.74962107281,-6606.5630858449,0.1220194735960518,0.0802074273752998,-0.04181204622075199,2.476566890105759,2.0606682821406985,-0.4158986079650604,244.70363256764267,273.4284854748559,28.724852907213233,36.45805833477989,13.196916113045257,128.3309572095112,0.9817762035580024,0.615002729751728,56.43068737866431,65.71599050803249,9.285303129368181,o,89.1465932553338,o,90.95177123346136,a-o,29.66858152894388,o-u,42.427682311034566
3361ee02-Audio_SP10,3361ee02-Audio_SP10,1286,1021,69,51,106647.52652494251,94266.14240923995,-12381.38411570256,0.1079271890399002,0.0999736534011746,-0.007953535638725598,2.84709304225711,2.8081200308750587,-0.038973011382051226,169.80708073251307,157.8095858275447,-11.997494904968363,50.63492979354941,27.4322887012175,91.3717721297875,0.9556295656191632,0.6403447508998437,39.73882766239268,46.74357686372373,7.004749201331052,e,53.140203449800985,o,73.13133627355518,o-u,22.176425999621,o-u,23.446595929152387
34ad326e-Audio_SP7,34ad326e-Audio_SP7,789,719,31,28,205732.51518576447,198700.3423807812,-7032.172804983275,0.0939501555635393,0.1125568667690078,0.018606711205468487,2.176865357187727,1.9869208348977487,-0.18994452228997805,274.27621194924745,282.04754127112864,7.771329321881183,56.1604695648726,47.52723749181962,142.30408346650316,0.9490288186272732,0.6424656833970572,52.981759813945885,55.28494298286314,2.3031831689172577,o,64.1398783666377,o,65.64701631841994,i-e,28.75460811027408,i-e,26.76615198826878
375a28cd-Audio_SP16,375a28cd-Audio_SP16,1829,1725,111,90,134553.03486190116,128553.91267631232,-5999.122185588843,-0.0214758000554053,0.0010972641983177,0.022573064253723,3.537986881112963,4.107505397853528,0.5695185167405645,219.06014719006544,191.2578434513942,-27.80230373867124,73.75960590732146,71.35952990713736,114.4680102049323,0.9890898269476104,0.5582321851649352,51.42281127005869,53.49073794399378,2.0679266739350908,o,86.12148773753451,o,93.73681288173238,i-e,32.71543748347872,o-u,42.40177395883861
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,5293,4946,373,327,178251.2231075416,187003.5702298932,8752.34712235161,0.142688876074879,0.1334696480001611,-0.009219228074717922,3.606844635085396,3.660288656718497,0.05344402163310091,215.20696223765827,212.2727568140745,-2.9342054235837622,11.35436754624068,10.224412572036591,24.78445804072296,0.9996664844339276,0.6447307092682589,36.99971987122676,37.5652017854229,0.5654819141961411,o,63.543066585216856,o,59.98115493336923,o-u,39.37529177099691,o-u,40.596440596440594
49ae7020-Audio_SP17,49ae7020-Audio_SP17,1395,1076,54,33,124765.27851845336,127566.23406336784,2800.9555449144827,0.1700098586365066,0.197598493313916,0.02758863467740938,3.761185001567406,3.5786287586170795,-0.18255624295032646,192.33319005467536,199.11094284684629,6.777752792170929,25.179325957530857,21.97090449802609,52.3095417578886,0.9935235392672386,0.6826947675580606,43.07696011572628,46.233258379139805,3.1562982634135253,o,68.81224640354114,o,90.63558092289831,o-u,31.648846370287,o-u,27.85019210743653
501e6487-Audio_SP19,501e6487-Audio_SP19,2976,2457,166,136,90016.29265442071,99401.42363417929,9385.13097975857,0.1411136052702605,0.1577725860321497,0.01665898076188918,2.5568443812359503,2.8475972906431504,0.2907529094072001,182.2091498242659,178.45654824781704,-3.7526015764488534,39.43877973498905,14.270029495652524,113.96385442951896,0.9873685480389164,0.6398612588128717,47.20371529087227,50.52802215079841,3.324306859926139,o,76.71136698729201,o,82.1057978376025,o-u,31.051539811712143,o-u,34.96288106144369
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,2211,2142,106,95,271261.5868847352,269512.7530129298,-1748.8338718054001,0.0952508179141606,0.1151397807400755,0.019888962825914902,3.657794004118224,3.680271488778884,0.022477484660659908,254.7646826072196,257.5221845031871,2.757501895967465,75.36953677905653,81.12567035595995,118.96862202853764,0.9673447306886964,0.6471750617931478,49.30717912935108,45.9487191390232,-3.35845999032788,o,82.49600000000001,u,73.63317852195877,i-e,24.913628782463665,o-u,32.42205718795967
51a17262-Audio_SP18,51a17262-Audio_SP18,1391,1424,58,52,293108.36565278965,292762.7230255327,-345.64262725698063,0.0998917118256989,0.1255901865126004,0.025698474686901493,3.257139535122471,3.717587369406304,0.4604478342838334,300.1218197100566,268.76196475273133,-31.359854957325297,109.85656415663324,107.82817447150256,143.69752255811477,0.9621226659238272,0.6364272934353266,41.11821929509047,35.03169360094186,-6.086525694148612,u,84.04583516967827,u,96.43920311426608,o-u,39.94219168900804,o-u,40.19373926321817
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,1214,823,63,35,86393.12152757734,90333.38892092872,3940.2673933513724,0.1704968630013462,0.178900339744445,0.008403476743098798,3.4742222152637523,3.1746907366468813,-0.299531478616871,176.43858168587985,191.40779417499343,14.969212489113573,24.08422307012213,20.81864284006973,49.04351154461208,0.9970806311568124,0.6668960347184829,42.637206845165956,40.24107677177592,-2.396130073390033,o,72.51672671127125,o,81.35754248917978,o-u,26.223359923800448,i-e,19.047294069473825
5586979c-Audio_SP18,5586979c-Audio_SP18,2550,1833,74,39,131497.2490116576,98654.42056640296,-32842.82844525465,0.1790941254824849,0.1767403564608675,-0.002353769021617408,3.447190260409845,3.001815233484256,-0.44537502692558917,175.3430707311131,180.41506076377112,5.071990032658022,60.20065497445457,28.63235235502484,180.0967291554943,0.9472044204750644,0.6837248483681525,40.68016939959337,52.11774561928735,11.43757621969398,o,66.94060064052209,o,80.16484404460486,o-u,35.83176611386562,o-u,41.10639083856668
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,2214,1836,68,76,240045.7909221099,249729.6774638444,9683.886541734479,0.1420611314677576,0.1576379344055747,0.015576802937817102,3.293191352989298,3.47943573697222,0.1862443839829222,233.29628303685652,226.09475631391624,-7.201526722940287,23.17241825787885,17.020881082596613,52.08346637328506,0.9968343580859564,0.6707051384239333,39.249375148075316,37.91263787008642,-1.3367372779888953,o,59.65838325128996,u,65.05484988452656,o-u,40.308555399719495,o-u,31.67474875254761
5a932187-audio_SP16,5a932187-audio_SP16,2158,1956,131,81,137896.8992106706,147749.38544275198,9852.48623208137,0.0991270038723005,0.088741081261685,-0.010385922610615494,2.155204449021485,2.084335685938141,-0.070868763083344,222.97316016616028,240.7462127038346,17.773052537674317,24.724491243085215,17.409623127943437,48.49755956009665,0.99551620666468,0.628526375440412,63.141308767204876,64.75806831562156,1.616759548416681,o,93.47456155582566,o,86.58465143526655,o-u,49.132920663422006,o-u,52.51455131694652
63239054-Audio_SP15,63239054-Audio_SP15,1555,1213,47,49,127487.53455799085,114877.81493970836,-12609.719618282485,0.1351363782586706,0.1426012666268948,0.007464888368224204,2.938105483270069,2.6605809883080216,-0.27752449496204745,201.81408972740252,209.13780344933457,7.323713721932052,26.736198338218703,11.88193879646953,64.55623663073563,0.9976783493577602,0.6209162264110931,43.5430647034312,48.83178716734735,5.288722463916152,o,92.9155114548373,o,93.19252923721416,o-u,37.49672088142707,o-u,27.735866629412318
713a2f9b-Audio_SP16,713a2f9b-Audio_SP16,1764,1584,71,102,116934.31783716028,114591.98073266278,-2342.3371044975065,0.2003310805239318,0.1374714157593588,-0.062859664764573,2.905184106579193,2.7597045904270825,-0.1454795161521103,195.6871038812755,200.3207339846963,4.633630103420785,15.090307017390614,14.197969162839405,21.73040363419311,0.9996932557641972,0.6782300041228613,45.087205144893055,53.378383058720566,8.29117791382751,o,72.33770386952351,o,82.4236392865345,o-u,29.05763364906085,o-u,41.137401411374015
7a414497-Audio_SP15,7a414497-Audio_SP15,1503,770,69,41,192738.08008532552,174652.09925818112,-18085.980827144405,0.2020016475779386,0.1917015940507265,-0.010300053527212083,3.1930148682163244,3.0373686845280163,-0.15564618368830807,204.6506721997151,198.32563910915692,-6.325033090558179,41.27989741388215,26.937940981947374,116.72702449748463,0.983800537191354,0.7093103835618806,17.291827019096637,30.38031841600401,13.088491396907372,e,27.612060625604645,o,69.65978806469604,o-u,7.110820814282605,o-u,16.331274278800226
7aee4437-Audio_SP12,7aee4437-Audio_SP12,731,967,51,62,171764.3712878984,180988.76652548125,9224.395237582852,0.1136272256394991,0.1097028003652932,-0.003924425274205903,3.123089488821904,2.803806222280421,-0.3192832665414831,209.09785603834325,219.62165148349487,10.52379544515162,43.62059846759698,37.367967959758886,83.35339720437746,0.981621843224918,0.6689480631000867,52.560787358932885,52.476745624836894,-0.08404173409599025,e,96.15298087739032,o,90.2331778814124,o-u,29.1897332662305,o-u,40.78636766007672
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,2090,2164,77,75,336327.3231272032,336309.38213278604,-17.940994417178445,0.1592122713271987,0.1603990315488373,0.0011867602216386053,2.8544328991863432,2.8135874325172727,-0.04084546666907052,257.13440549176545,258.91307017381905,1.778664682053602,8.670174792661715,9.834267264131258,10.24968530662065,0.9996562763474875,0.7061354128894746,44.48635602163139,44.705727641518216,0.21937161988682874,o,58.23601185288477,o,57.69641712372676,a-o,20.81024663041517,o-u,21.18874280126046
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,1238,1156,66,66,165109.45496350562,147512.6350937176,-17596.819869788014,0.1736675714417792,0.168630148934796,-0.005037422506983191,3.3665477104528017,3.339995952254776,-0.026551758198025688,184.664775551945,182.30823680058057,-2.3565387513644396,18.140103649745367,16.952402867776748,31.310442777510865,0.9980707834571416,0.6753267352745527,30.728773107208365,38.36699953773566,7.638226430527293,e,43.9525759126578,o,60.01938577696153,o-u,23.72769924991782,o-u,33.02623977621697
7e277fda-Audio_SP28,7e277fda-Audio_SP28,1941,1591,98,80,181652.17073565,168370.3349281263,-13281.83580752369,0.0788991234738337,0.104308713073016,0.025409589599182297,3.751125260816951,3.866609914454111,0.11548465363715987,196.9930119436452,186.8295198134998,-10.163492130145414,13.56106502101257,12.436939835220102,26.089340940503483,0.999686471443472,0.6976676183749977,48.683030523947025,50.67543029663492,1.9923997726878966,o,99.56723833947748,o,95.76847182635386,o-u,33.05177268287077,o-u,36.02625866906666
85c7895f-Audio_SP16,85c7895f-Audio_SP16,3164,2816,105,112,202077.6176150877,215961.91039433263,13884.292779244919,0.2009400764201411,0.198820882385351,-0.002119194034790106,3.48969239915464,3.667793501912622,0.1781011027579824,195.10570125736223,193.43081476475052,-1.674886492611705,34.03019928499175,16.85327212710615,110.31116891466084,0.9921365658696814,0.6958997169865533,35.502605106249916,31.619939254035465,-3.8826658522144513,e,55.60298826040554,i,44.00077346997969,o-u,27.459807073954984,i-e,24.91787122207621
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,1143,1074,66,46,135690.21661239665,155774.77829990804,20084.561687511392,0.2088342998808964,0.2232954966608151,0.014461196779918695,2.8819271751258544,3.0991509780723527,0.21722380294649835,209.3121381486621,206.60143906720427,-2.7106990814578182,34.60956903710769,19.719002934834965,68.35479248469517,0.9961521426648796,0.6951690396242369,45.86279020606328,42.457851422316836,-3.404938783746445,o,84.49095022624434,o,74.00269402134494,o-u,31.585944077635485,o-u,34.45269294006278
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,1208,913,59,48,168662.70681836776,205928.9402408083,37266.233422440535,0.1448508387140765,0.1447815351386133,-6.930357546319765e-05,3.10949166584031,3.313434850731124,0.20394318489081442,215.8904818727769,203.75067886429,-12.139803008486894,35.10051554215937,38.17275224924809,46.2100260693362,0.992513418564669,0.6629860803841495,37.98173299460633,32.64839994199049,-5.333333052615842,o,83.41086287099522,o,54.552399784289065,o-u,41.67352447414333,o-u,34.820337708718405
a1a056ce-Audio_SP11,a1a056ce-Audio_SP11,858,847,14,26,140150.04544364975,203336.44044339203,63186.394999742275,0.0669375748071399,0.0405323337559291,-0.026405241051210795,3.0741790044902397,3.898956532801802,0.8247775283115621,272.5154147448558,242.803082734742,-29.712332010113784,91.29990190647582,55.589396282735294,196.2593394570526,0.958869759738279,0.619842278933188,60.278081671291986,46.61271785096211,-13.665363820329873,o,99.98689813298397,u,69.93154821824038,o-u,41.00894803258001,o-u,28.135757968490545
a452055c-Audio_SP11,a452055c-Audio_SP11,2127,1864,134,89,141849.05859131998,132938.6137177966,-8910.444873523375,0.1851695387013655,0.1846150170934901,-0.0005545216078753912,3.5273887916461746,3.155431564090162,-0.3719572275560128,176.2097371872048,193.10253589484475,16.89279870763994,25.079456705456536,14.49311715078244,63.71984906238773,0.9906232614653444,0.6823587898085317,39.211712166013676,47.32145551641204,8.109743350398361,u,62.0219190337732,o,95.52097661623108,o-u,44.90930684517382,o-u,52.77381970171939
adad0062-Audio_SP17,adad0062-Audio_SP17,2140,1752,103,106,114487.17878209964,109384.9647586384,-5102.214023461245,0.1399582628670965,0.1350474433523666,-0.004910819514729908,3.063977338736421,2.794065975224749,-0.2699113635116719,203.2408369486604,212.5253965835208,9.284559634860415,31.289940427074136,22.639087467270524,56.90660561926308,0.9961877283969596,0.6601102078265694,40.81892336888554,44.843152894075786,4.024229525190243,o,62.62568227520827,e,75.55794155993559,o-u,28.82308628382686,i-e,27.88484744009653
c3533b36-Audio_SP16,c3533b36-Audio_SP16,1134,889,66,42,168141.11096189742,147421.35761168256,-20719.753350214858,0.1482405551625894,0.1348302608654923,-0.013410294297097114,3.378900358640533,3.3299392837081028,-0.04896107493243029,190.9675091063597,193.3914236457092,2.4239145393495107,30.169191722554377,37.89855310710235,53.61713789759824,0.993734120121564,0.6425620408560041,32.86859875027726,42.41978976060735,9.551191010330093,o,54.3409161732627,o,79.05835881753313,o-u,31.34996303070397,o-u,54.247930739225566
cafd9c21-Audio_SP27,cafd9c21-Audio_SP27,2617,2580,101,105,137652.50734045322,132663.1635348532,-4989.343805600016,0.1382091263669486,0.1401108937127854,0.0019017673458368023,3.711961538906189,3.3464116535844624,-0.3655498853217267,161.3576165818322,167.82666669165818,6.469050109825986,32.474510856142295,32.04974904407859,51.84800839247892,0.9981930343510136,0.6666735536578068,30.82136981481482,36.524096099133814,5.702726284318995,e,51.06502592291836,e,59.50101334824237,i-e,18.476230644092308,o-u,22.85500523716894
d4c363bf-Audio_SP13,d4c363bf-Audio_SP13,1779,1757,68,85,161387.05226287054,193012.7330043388,31625.68074146827,0.1806809640349029,0.1643774883044184,-0.016303475730484518,3.4489300226254485,3.282594116884406,-0.1663359057410423,230.8491189480113,248.33545393701192,17.486334989000625,20.97660015640193,19.06077946980767,47.86634687433941,0.9996428427193302,0.6531685831955243,37.40864176891144,41.02187820885293,3.6132364399414953,o,56.51523959804003,o,74.13022661985316,o-u,31.64859693877551,o-u,42.20059736005396
dbeec025-Audio_SP13,dbeec025-Audio_SP13,1494,1318,87,64,110807.43812700978,103987.20046809588,-6820.237658913902,0.13175384475413,0.0909472923876872,-0.04080655236644279,2.8413122843691228,2.573985118047928,-0.2673271663211949,178.50401636383785,205.7912309246899,27.28721456085205,39.25019220366914,34.510003833654736,59.853993288014046,0.9968216312180892,0.6266045466641477,49.26324622332852,60.337104503914034,11.073858280585512,o,75.28044054660413,e,90.79762436937224,o-u,24.95037129622822,o-u,34.6929118955238
e90f8e4d-Audio_SP22,e90f8e4d-Audio_SP22,1390,1208,53,74,192931.8971175758,224041.0196571056,31109.12253952978,0.1686746227682592,0.1445817782744912,-0.024092844493768,3.427226795297115,3.671134442854073,0.24390764755695793,232.1864639120854,227.05755067841372,-5.128913233671682,58.55846140068977,57.72535896302709,83.55838946238836,0.9881548104794784,0.6675848063271237,32.69616962626594,35.91005679503754,3.213887168771599,o,58.85545995264769,o,58.892967681566255,o-u,31.97063182930612,o-u,26.42235776422358
f061152e-Audio_SP12,f061152e-Audio_SP12,1372,1566,51,59,229431.87684411684,228012.34484708024,-1419.5319970365963,0.1042813060328081,0.1149160804777589,0.010634774444950812,2.928436846180841,2.9116569762171607,-0.016779869963680305,244.63036147358952,244.3880802898297,-0.24228118375981467,21.666673636699684,17.876055019373833,44.34853516238742,0.9967528464531245,0.6688392926957318,53.85073764905751,53.66346311580459,-0.18727453325291776,e,72.21112396172853,o,71.43062682844949,o-u,38.81930787013077,o-u,35.46591484132148
fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,1542,1028,67,56,115679.89681321169,101720.3713272493,-13959.525485962382,0.1763391914747817,0.1405630400702609,-0.035776151404520784,3.980184084518744,3.498170853062052,-0.48201323145669184,158.59045967509286,185.96814546481383,27.37768578972097,44.20841126851733,45.09755348850677,59.900395365285895,0.9885326718460892,0.6825551232166018,39.524939587226136,50.69862147652763,11.173681889301491,e,62.62746656072044,e,85.6056890632663,o-u,32.711335771133584,o-u,36.05417541826609
