audio,mean_centroid_shift,median_centroid_shift,max_centroid_shift,distance_matrix_correlation,vowel_space_area_H1,vowel_space_area_H2,vowel_space_area_abs_diff,mean_pairwise_distance_H1,mean_pairwise_distance_H2,mean_pairwise_distance_abs_diff,silhouette_H1,silhouette_H2,silhouette_abs_diff,classification_accuracy_H1_centroids_to_H2_tokens,classification_accuracy_H2_centroids_to_H1_tokens,classification_accuracy_mean
7dec1dd7-Audio_SP13,18.140103649745367,16.952402867776748,31.310442777510865,0.9980707834571416,165109.45496350562,147512.6350937176,17596.819869788014,634.8985026151106,621.9763686125796,12.922134002531038,0.1736675714417792,0.168630148934796,0.0050374225069831,0.6842560553633218,0.6663974151857835,0.6753267352745527
7e277fda-Audio_SP28,13.56106502101257,12.436939835220102,26.089340940503483,0.999686471443472,181652.17073565,168370.3349281263,13281.83580752369,759.5937695613414,746.9627885844476,12.630980976893852,0.0788991234738337,0.104308713073016,0.0254095895991823,0.7152734129478315,0.6800618238021638,0.6976676183749977
85c7895f-Audio_SP16,34.03019928499175,16.85327212710615,110.31116891466084,0.9921365658696814,202077.6176150877,215961.91039433263,13884.292779244948,679.347047110587,710.7829700959721,31.435922985385105,0.2009400764201411,0.198820882385351,0.0021191940347901,0.7116477272727273,0.6801517067003793,0.6958997169865533
919b9bc1-Audio_SP14,34.60956903710769,19.719002934834965,68.35479248469517,0.9961521426648796,135690.21661239665,155774.77829990804,20084.561687511392,615.8802880390119,649.0032386994205,33.122950660408605,0.2088342998808964,0.2232954966608151,0.0144611967799186,0.6834264432029795,0.7069116360454943,0.6951690396242369
9a0c18cb-Audio_SP14,35.10051554215937,38.17275224924809,46.2100260693362,0.992513418564669,168662.70681836776,205928.9402408083,37266.233422440535,684.5290675935863,683.1584189601592,1.3706486334270949,0.1448508387140765,0.1447815351386133,6.930357546328092e-05,0.6670317634173056,0.6589403973509934,0.6629860803841495
a1a056ce-Audio_SP11,91.29990190647582,55.589396282735294,196.2593394570526,0.958869759738279,140150.04544364975,203336.44044339203,63186.39499974228,806.3615914160889,905.5287161154754,99.16712469938648,0.0669375748071399,0.0405323337559291,0.0264052410512107,0.6044864226682408,0.6351981351981352,0.619842278933188
a452055c-Audio_SP11,25.079456705456536,14.49311715078244,63.71984906238773,0.9906232614653444,141849.05859131998,132938.6137177966,8910.444873523375,632.7206940197254,623.133769816938,9.586924202787486,0.1851695387013655,0.1846150170934901,0.0005545216078754,0.6834763948497854,0.6812411847672779,0.6823587898085317
adad0062-Audio_SP17,31.289940427074136,22.639087467270524,56.90660561926308,0.9961877283969596,114487.17878209964,109384.9647586384,5102.214023461216,625.6244477127709,588.4185233325521,37.20592438021879,0.1399582628670965,0.1350474433523666,0.0049108195147298,0.6295662100456622,0.6906542056074766,0.6601102078265694
c3533b36-Audio_SP16,30.169191722554377,37.89855310710235,53.61713789759824,0.993734120121564,168141.11096189742,147421.35761168256,20719.753350214854,649.8426127252841,651.3606757232152,1.5180629979311109,0.1482405551625894,0.1348302608654923,0.0134102942970971,0.6299212598425197,0.6552028218694885,0.6425620408560041
cafd9c21-Audio_SP27,32.474510856142295,32.04974904407859,51.84800839247892,0.9981930343510136,137652.50734045322,132663.1635348532,4989.343805600016,600.8979091678588,567.4453372726597,33.45257189519907,0.1382091263669486,0.1401108937127854,0.0019017673458367,0.6856589147286821,0.6476881925869316,0.6666735536578068
d4c363bf-Audio_SP13,20.97660015640193,19.06077946980767,47.86634687433941,0.9996428427193302,161387.05226287054,193012.7330043388,31625.68074146827,803.988304003911,825.4099586102673,21.42165460635624,0.1806809640349029,0.1643774883044184,0.0163034757304844,0.6351735913488902,0.6711635750421585,0.6531685831955243
