audio,vowel_norm,f1_median,f2_median,chosen_k,cluster
7aee4437-Audio_SP12,a,0.9376079033956491,-0.3541820061069337,3,3
7c3c98d2-Audio_SP13,a,0.8626776650674036,-0.4484327350678543,3,3
7dec1dd7-Audio_SP13,a,1.0277000117755033,-0.1627993214108428,3,1
7e277fda-Audio_SP28,a,0.88263834679359,-0.910202308786593,3,2
85c7895f-Audio_SP16,a,1.3345586385685189,-0.2375079617329986,3,1
919b9bc1-Audio_SP14,a,0.913367691242278,-0.159946037821451,3,3
9a0c18cb-Audio_SP14,a,1.1348445223737822,-0.2054170342249845,3,1
a1a056ce-Audio_SP11,a,0.9093765241941558,-0.1685760189234851,3,3
a452055c-Audio_SP11,a,1.1229786204819343,-0.2069128977012802,3,1
adad0062-Audio_SP17,a,0.9549126941130992,-0.3658987173400548,3,3
c3533b36-Audio_SP16,a,1.115224143919246,-0.1802336694306907,3,1
cafd9c21-Audio_SP27,a,1.0459896868838736,-0.267448459020607,3,1
d4c363bf-Audio_SP13,a,1.0802520842475836,-0.3521306220119359,3,1
dbeec025-Audio_SP13,a,0.7693654271888339,-0.2639423568186284,3,3
e90f8e4d-Audio_SP22,a,0.8078042618845667,-0.2258299124018027,3,3
f061152e-Audio_SP12,a,0.795294293696791,-0.1346539083649794,3,3
fcd45f4d-Audio_SP21,a,0.8891456810587594,-0.2371526291751623,3,3
061ea7d0-Audio_SP16,e,-0.2909955614648489,0.5911156987383106,3,3
0af9ac47-Audio_SP14,e,-0.267879009668385,0.7382903756261822,3,3
0e6115f2-Audio_SP19,e,-0.271961380548561,0.5262695720564323,3,3
0f786745-Audio_SP20,e,-0.1028823393733756,0.8818766530351202,3,2
12c532f8-Audio_SP15,e,-0.4955381551183198,0.7691155447658186,3,1
181d5ce9-Audio_SP21,e,-0.2459533971000396,0.669106290745392,3,3
1c403477-Audio_SP13,e,-0.233738927029348,0.5798808523279411,3,3
1d46eb6e-Audio_SP18,e,-0.3829757848985501,0.7355042131528012,3,3
2988c6fc-Audio_SP13,e,-0.2928888393538684,0.6504001800077512,3,3
2e25304d-Audio_SP12,e,-0.3796725911349158,0.5290215976545013,3,3
30a90cb2-Audio_SP21,e,-0.1604213677876544,0.3661683590375479,3,3
3361ee02-Audio_SP10,e,-0.2078924214133015,0.5049028785713271,3,3
34ad326e-Audio_SP7,e,-0.5250256201791242,0.4004409756255562,3,1
375a28cd-Audio_SP16,e,-0.2415595102755311,1.1311867383352785,3,2
42d56bbf-Audio_SP23,e,-0.1888095586194922,0.741154814295085,3,3
49ae7020-Audio_SP17,e,-0.1917620000714511,0.460531901223511,3,3
501e6487-Audio_SP19,e,-0.2164646229299857,0.6271964487702404,3,3
514fc6b6-Audio_SP19,e,-0.3135116163091176,0.5675990965825931,3,3
51a17262-Audio_SP18,e,-0.1836017802653572,0.3789547020150144,3,3
5278b5b9-Audio_SP15,e,-0.2495146533778451,0.5846781474481308,3,3
5586979c-Audio_SP18,e,-0.3660098625465194,0.5837724346553278,3,3
5819ce7a-Audio_SP11,e,-0.3731753812618755,0.5776258386338531,3,3
5a932187-audio_SP16,e,-0.2091572931610735,0.3328737373205029,3,3
63239054-Audio_SP15,e,-0.3862872394697563,0.69728172936689,3,3
713a2f9b-Audio_SP16,e,-0.1846977489333714,0.5504870995010744,3,3
7a414497-Audio_SP15,e,-0.2118730147554147,0.5076766045008305,3,3
7aee4437-Audio_SP12,e,-0.3291817824128392,0.5215628759016318,3,3
7c3c98d2-Audio_SP13,e,-0.4559604549519111,0.3154459375827033,3,1
7dec1dd7-Audio_SP13,e,-0.5442994147143461,0.6750725257318001,3,1
7e277fda-Audio_SP28,e,-0.0129039730602373,0.7824697000957409,3,2
85c7895f-Audio_SP16,e,-0.4884665825301033,0.8260019829161671,3,1
919b9bc1-Audio_SP14,e,-0.2721520669314176,0.5551178075149177,3,3
9a0c18cb-Audio_SP14,e,-0.3004887597406653,0.7392815775553165,3,3
a1a056ce-Audio_SP11,e,-0.2489119063808176,0.5557551666138367,3,3
a452055c-Audio_SP11,e,-0.2929664845631071,0.6632808133320285,3,3
adad0062-Audio_SP17,e,-0.2891797033598368,0.6190759363774317,3,3
c3533b36-Audio_SP16,e,-0.3675268062925402,0.7073740323047598,3,3
cafd9c21-Audio_SP27,e,-0.2426087225122269,0.6043571925857776,3,3
d4c363bf-Audio_SP13,e,-0.2765947426911391,0.4867068580630465,3,3
dbeec025-Audio_SP13,e,-0.1057074803853918,0.5005137569858539,3,3
e90f8e4d-Audio_SP22,e,-0.2470815255598575,0.6361482382973398,3,3
f061152e-Audio_SP12,e,-0.3563232515250605,0.2984606782725573,3,1
fcd45f4d-Audio_SP21,e,-0.2513295013845255,0.7820702245340896,3,3
061ea7d0-Audio_SP16,i,-1.0831474154444918,1.1861214416635986,8,3
0af9ac47-Audio_SP14,i,-1.2637958510548315,1.2083699962437056,8,5
0e6115f2-Audio_SP19,i,-1.0042509602214469,1.1938299717198984,8,1
0f786745-Audio_SP20,i,-1.275781045061965,1.2916945416395471,8,5
12c532f8-Audio_SP15,i,-1.2288978561329296,1.269994396383097,8,5
181d5ce9-Audio_SP21,i,-1.1526444834797105,1.2105845794614405,8,5
1c403477-Audio_SP13,i,-0.944643370751379,1.1459536743873624,8,1
1d46eb6e-Audio_SP18,i,-1.0981478969595435,1.2360597993102456,8,7
2988c6fc-Audio_SP13,i,-1.1541379567468617,1.2211870500667237,8,5
2e25304d-Audio_SP12,i,-1.2616840525415285,1.4286932175043865,8,8
30a90cb2-Audio_SP21,i,-0.8509219794606684,0.9902565787614668,8,2
3361ee02-Audio_SP10,i,-1.1213957996431696,1.0308381621021645,8,4
34ad326e-Audio_SP7,i,-1.1987797195212535,1.2250917790803733,8,5
375a28cd-Audio_SP16,i,-1.1489762902329028,0.9197458480809124,8,4
42d56bbf-Audio_SP23,i,-0.971538948756889,1.1542126535161317,8,1
49ae7020-Audio_SP17,i,-1.024472527878491,1.2673857193912057,8,7
501e6487-Audio_SP19,i,-0.9996946881919266,1.2337582229445432,8,1
514fc6b6-Audio_SP19,i,-0.9496973919454156,1.313178439346943,8,7
51a17262-Audio_SP18,i,-0.8820839050389986,1.4595684458877134,8,6
5278b5b9-Audio_SP15,i,-0.9222418780224046,1.1984454272984233,8,1
5586979c-Audio_SP18,i,-1.1447868778787438,1.2333907158409396,8,5
5819ce7a-Audio_SP11,i,-1.1299450602810066,1.0991543253979368,8,3
5a932187-audio_SP16,i,-1.0859117966690968,1.1449935382873957,8,3
63239054-Audio_SP15,i,-1.2059664997331363,1.2090101765409655,8,5
713a2f9b-Audio_SP16,i,-0.9371995095962496,1.1597668080101349,8,1
7a414497-Audio_SP15,i,-1.266487947500603,1.2640298967853985,8,5
7aee4437-Audio_SP12,i,-0.8023542828477147,1.2478960395965837,8,1
7c3c98d2-Audio_SP13,i,-1.0792605757484734,1.4166122990039114,8,8
7dec1dd7-Audio_SP13,i,-1.1782763520461028,1.3006315169365863,8,5
7e277fda-Audio_SP28,i,-1.0614413631190298,1.1923020352847398,8,3
85c7895f-Audio_SP16,i,-1.017290805364937,1.1253149411848704,8,3
919b9bc1-Audio_SP14,i,-1.113465210458785,1.1896499922596595,8,3
9a0c18cb-Audio_SP14,i,-1.3517323642691172,1.0826264089548077,8,4
a1a056ce-Audio_SP11,i,-0.8847955612011821,1.1065902920291544,8,1
a452055c-Audio_SP11,i,-1.0920558197554044,1.2828890744251034,8,7
adad0062-Audio_SP17,i,-1.1218051894307788,1.11865268546337,8,3
c3533b36-Audio_SP16,i,-1.310322396079983,1.2305765976158276,8,5
cafd9c21-Audio_SP27,i,-1.2671425859993224,1.1985989368635843,8,5
d4c363bf-Audio_SP13,i,-0.8896991994558723,1.212543280726204,8,1
dbeec025-Audio_SP13,i,-1.4324860164021174,1.320629711374932,8,5
e90f8e4d-Audio_SP22,i,-0.9472518768853272,1.236981635689315,8,1
f061152e-Audio_SP12,i,-0.8672930719284199,1.3949934693120654,8,6
fcd45f4d-Audio_SP21,i,-1.0679629147877605,1.1821802911537111,8,3
061ea7d0-Audio_SP16,o,-0.1524207994931286,-1.2484693325317302,4,1
0af9ac47-Audio_SP14,o,0.0508669375508655,-1.1761245009490444,4,4
0e6115f2-Audio_SP19,o,-0.0546289933730811,-1.080015674154231,4,4
0f786745-Audio_SP20,o,-0.0845094472746582,-0.6759859305181164,4,3
12c532f8-Audio_SP15,o,-0.0562416353297597,-1.1065179021154918,4,4
181d5ce9-Audio_SP21,o,0.0025707908067146,-1.0666215843164757,4,4
1c403477-Audio_SP13,o,-0.0628103392539349,-1.1018428361423114,4,4
1d46eb6e-Audio_SP18,o,-0.2402388588015616,-1.148612052975306,4,2
2988c6fc-Audio_SP13,o,-0.1584503048274386,-1.3064716506270004,4,1
2e25304d-Audio_SP12,o,0.0270857584552753,-1.0585366823142026,4,4
30a90cb2-Audio_SP21,o,0.0187334297275601,-0.8863161172944531,4,3
3361ee02-Audio_SP10,o,0.0576689640466581,-1.12148869778437,4,4
34ad326e-Audio_SP7,o,-0.0489008836044214,-0.7776666579532888,4,3
375a28cd-Audio_SP16,o,0.0967147679062349,-0.957662562538278,4,4
42d56bbf-Audio_SP23,o,-0.1359769086687683,-1.1527264271957056,4,4
49ae7020-Audio_SP17,o,0.0178745171344382,-1.149984012739519,4,4
501e6487-Audio_SP19,o,-0.1170870747451439,-1.0619072841887172,4,4
514fc6b6-Audio_SP19,o,-0.210730311910319,-1.0976942758172104,4,2
51a17262-Audio_SP18,o,-0.2761280039124397,-1.1898352315843606,4,2
5278b5b9-Audio_SP15,o,0.1057728332350023,-1.1003084214254892,4,4
5586979c-Audio_SP18,o,-0.1168823453286442,-1.240465791788473,4,1
5819ce7a-Audio_SP11,o,-0.2317945047816671,-1.3722824010754178,4,1
5a932187-audio_SP16,o,-0.0208160998392105,-0.8730699290243848,4,3
63239054-Audio_SP15,o,0.0337904779648112,-0.9750489247724856,4,4
713a2f9b-Audio_SP16,o,0.0353033274096245,-1.0796186977231368,4,4
7a414497-Audio_SP15,o,-0.106255190399828,-1.1187493435625455,4,4
7aee4437-Audio_SP12,o,-0.3396146372823951,-1.1623096802508384,4,2
7c3c98d2-Audio_SP13,o,0.0318344966426286,-1.0952742147553636,4,4
7dec1dd7-Audio_SP13,o,-0.0800874623930855,-1.076813609539176,4,4
7e277fda-Audio_SP28,o,-0.1528451330122771,-0.891107416703333,4,3
85c7895f-Audio_SP16,o,-0.2243406961814027,-1.3201734981969246,4,1
919b9bc1-Audio_SP14,o,0.0538671315588995,-1.1209762107311358,4,4
9a0c18cb-Audio_SP14,o,0.031137357880512,-1.02897191314349,4,4
a1a056ce-Audio_SP11,o,-0.1937681213977687,-1.1908074036023464,4,2
a452055c-Audio_SP11,o,-0.3673936057065389,-1.09152736777281,4,2
adad0062-Audio_SP17,o,-0.1001305234239733,-1.2901208336857526,4,1
c3533b36-Audio_SP16,o,-0.2209904080041142,-1.059317944132797,4,2
cafd9c21-Audio_SP27,o,-0.0834150537415955,-1.1955232719624995,4,4
d4c363bf-Audio_SP13,o,-0.1614052155971272,-1.3548628495645856,4,1
dbeec025-Audio_SP13,o,0.0339652887169249,-1.0069423357923135,4,4
e90f8e4d-Audio_SP22,o,-0.18749973497569,-1.0279906582110918,4,2
f061152e-Audio_SP12,o,-0.3500217620256545,-1.1379496537869684,4,2
fcd45f4d-Audio_SP21,o,-0.0279593191477795,-1.0235838827410964,4,4
061ea7d0-Audio_SP16,u,-0.6887264051246451,-1.6030972088833575,3,1
0af9ac47-Audio_SP14,u,-0.8494028188908744,-1.522514199736899,3,3
0e6115f2-Audio_SP19,u,-0.6292214431203911,-1.4763182196193771,3,1
0f786745-Audio_SP20,u,-1.0638223090552892,-0.860543404365064,3,2
12c532f8-Audio_SP15,u,-0.5831160131830063,-1.564173022282729,3,1
181d5ce9-Audio_SP21,u,-1.0430379494005528,-1.5549335659752437,3,3
1c403477-Audio_SP13,u,-0.6421467062950384,-1.4343778516417371,3,1
1d46eb6e-Audio_SP18,u,-0.8165268673209375,-1.5527525777388402,3,3
2988c6fc-Audio_SP13,u,-0.6578387272986608,-1.5694855810757835,3,1
2e25304d-Audio_SP12,u,-0.8174291598944592,-1.7911063024157687,3,3
30a90cb2-Audio_SP21,u,-0.5774311315226377,-1.151924006788771,3,1
3361ee02-Audio_SP10,u,-0.58608968134085,-1.5684787077539146,3,1
34ad326e-Audio_SP7,u,-1.0094376217157004,-1.089828389006919,3,2
375a28cd-Audio_SP16,u,-0.5494080922458263,-1.1993634064938934,3,1
42d56bbf-Audio_SP23,u,-0.6375407019360892,-1.4726253321466394,3,1
49ae7020-Audio_SP17,u,-0.6541076687176812,-1.5170188413896224,3,1
501e6487-Audio_SP19,u,-0.6425490908298944,-1.310521307574969,3,1
514fc6b6-Audio_SP19,u,-0.7682494942962118,-1.6175634569901118,3,3
51a17262-Audio_SP18,u,-0.6572882792327994,-1.3243494051812903,3,1
5278b5b9-Audio_SP15,u,-0.6368404937139656,-1.203661006028054,3,1
5586979c-Audio_SP18,u,-0.6962292020206844,-1.5762701015561855,3,1
5819ce7a-Audio_SP11,u,-0.7373239430455933,-1.658931189153254,3,3
5a932187-audio_SP16,u,-0.5260331439885453,-1.3757230934551934,3,1
63239054-Audio_SP15,u,-0.7098568071480293,-1.3115759022918212,3,1
713a2f9b-Audio_SP16,u,-0.5606727099354021,-1.2472801502511397,3,1
7a414497-Audio_SP15,u,-0.9876409384822272,-1.4662502650488536,3,3
7aee4437-Audio_SP12,u,-0.6299224562835778,-1.3691618568314288,3,1
7c3c98d2-Audio_SP13,u,-0.9124552305127556,-1.4193092212557978,3,3
7dec1dd7-Audio_SP13,u,-0.7737386348704525,-1.671494329546969,3,3
7e277fda-Audio_SP28,u,-0.7245759289951474,-1.079436398804739,3,1
85c7895f-Audio_SP16,u,-0.824088962461534,-1.26312335436729,3,3
919b9bc1-Audio_SP14,u,-0.4354544353052376,-1.223555453297741,3,1
9a0c18cb-Audio_SP14,u,-0.6399591412058627,-1.3326488867690591,3,1
a1a056ce-Audio_SP11,u,-0.8857770728778157,-1.5225026211266497,3,3
a452055c-Audio_SP11,u,-0.7346165302608935,-1.365348455496184,3,1
adad0062-Audio_SP17,u,-0.7268092712277918,-1.3350790297483166,3,1
c3533b36-Audio_SP16,u,-0.6620696795880309,-1.3905149433962871,3,1
cafd9c21-Audio_SP27,u,-0.985058814665574,-1.6251029104146355,3,3
d4c363bf-Audio_SP13,u,-0.6123080833229474,-1.599050397423898,3,1
dbeec025-Audio_SP13,u,-0.9134045245905276,-1.318899117361125,3,3
e90f8e4d-Audio_SP22,u,-0.7293877583995235,-1.3970377760641648,3,1
f061152e-Audio_SP12,u,-0.8273822438786529,-1.650879245932864,3,3
fcd45f4d-Audio_SP21,u,-0.5784424583534227,-1.4119237415809431,3,1
