F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,chunk_part,chunk_offset,chunk_time,original_chunk_id,chunk_file_name,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
397.5956105085585,955.0460787345904,2288.64244829105,2.3566880013797094,3.3581035419314778,4.412441896814524,5333.333333333333,0.0004663085109835,5873.368750000001,0.037,0.3245614035087719,part10_0-0-1471-5,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,195.553256619449,78.83322517869344,10,título,,0.089999999999236,del,de,l,#,l,d,final,10,5400.0,473.3687500000004,0-0-1471-5,42d56bbf-Audio_SP23_part10,10.555932259606353,28.734645124130264,82.4706025254859,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5873.368750000001,6174.432,3087.216,time column: time,audio_duration,H2
562.0970696262907,1476.8647919581333,2251.786720095671,2.920665783391289,3.5776082205012045,4.497466223192567,4615.384615384615,0.0006850290338057,5873.54775,0.035,0.3365384615384616,part10_0-0-1473-1,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,181.93674192752167,78.66916295078305,10,la,,0.0799999999999272,de,tarea,l,#,l,t,final,10,5400.0,473.5477499999998,0-0-1473-1,42d56bbf-Audio_SP23_part10,18.55363605127811,35.787841775011586,89.78933669317793,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5873.54775,6174.432,3087.216,time column: time,audio_duration,H2
567.60210820489,1441.619235561942,2253.1585167588582,3.318233223553734,3.455958222679912,3.995198204037768,4256.410256410256,5.9862777173912015e-06,5873.89275,0.025,0.3378378378378378,part10_0-0-1474-4,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,123.30847756162444,70.6820437852706,10,tarea,,0.0500000000001819,la,?,é,#,é,&,final,10,5400.0,473.89275000000015,0-0-1474-4,42d56bbf-Audio_SP23_part10,27.611524048119755,31.68863891131404,54.33660929194115,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5873.89275,6174.432,3087.216,time column: time,audio_duration,H2
475.7491710229369,1354.6680225959997,2114.077805200112,3.8032781293456615,3.660269837305519,4.6387464503995055,5512.820512820513,0.0004506786553991,5878.085749999999,0.031,0.3297872340425531,part10_0-0-1483-0,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,160.10668108411858,75.59314043858603,10,acuerdas,,0.0700000000006184,te,.,#,k,e,k,initial,10,5400.0,478.0857499999997,0-0-1483-0,42d56bbf-Audio_SP23_part10,44.84796120305376,38.87183052629836,103.4146309278516,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5878.085749999999,6174.432,3087.216,time column: time,audio_duration,H2
330.6074413405371,1152.8338652590685,2509.4187546949497,3.4751442220743733,3.588895189122862,4.483422305814117,4794.871794871795,0.0014215030870894,5878.18875,0.037,0.3245614035087719,part10_0-0-1483-2,u,42d56bbf-Audio_SP23.v0,group_0,1,fave,133.7805108150485,74.98205793211594,10,acuerdas,,0.0900000000001455,te,.,k,é,k,é,internal,10,5400.0,478.1887500000001,0-0-1483-2,42d56bbf-Audio_SP23_part10,32.30248693235366,36.19406623091296,88.53715600896308,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5878.18875,6174.432,3087.216,time column: time,audio_duration,H2
411.44234089572114,1691.1077678954448,2346.249258017699,3.364468029424581,3.5659369471006124,4.012273853815645,5333.333333333333,0.0053346889411176,5881.97075,0.041,0.3306451612903226,part10_0-0-1488-1,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,109.315848521624,65.43004108366628,10,te,,0.1000000000003638,No,escuché,t,#,t,s,final,10,5400.0,481.9707499999998,0-0-1488-1,42d56bbf-Audio_SP23_part10,28.9181096231014,35.372580119250415,55.272409159632886,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5881.97075,6174.432,3087.216,time column: time,audio_duration,H2
322.9501425445377,2079.446763146125,3360.275066638424,2.9673688717161584,3.559683122662983,4.415635094665051,7307.692307692308,0.0036036297570744,5882.36775,0.055,0.3353658536585365,part10_0-0-1489-4,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,76848.28121192992,66.54583554089548,10,escuché,,0.1399999999994179,te,[silence],h,#,h,.,final,10,5400.0,482.3677500000001,0-0-1489-4,42d56bbf-Audio_SP23_part10,19.440701265622533,35.15205649003804,82.73436838035805,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5882.36775,6174.432,3087.216,time column: time,audio_duration,H2
428.9104496628581,1419.13212912888,2421.942480032276,3.850764686225028,3.038478178034667,4.557853153265539,5153.846153846154,0.017029710084246,5887.94275,0.065,0.3350515463917525,part10_0-0-1499-6,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,85.74066902880934,57.33259122252407,10,importa,,0.1700000000000727,no,era,t,#,t,é,final,10,5400.0,487.9427499999998,0-0-1499-6,42d56bbf-Audio_SP23_part10,47.02901192268706,20.873453372138112,95.37849686076348,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5887.94275,6174.432,3087.216,time column: time,audio_duration,H2
508.3750363874103,1471.637496219209,2127.7783726289954,3.4185904526747803,2.963155182803296,4.212543725902133,4974.358974358975,0.0005073585823423,5888.25875,0.037,0.324561403508772,part10_0-0-1500-2,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,157.59373139029344,72.94444548218736,10,era,,0.0900000000001455,importa,simplemente,R,#,R,s,final,10,5400.0,488.2587499999998,0-0-1500-2,42d56bbf-Audio_SP23_part10,30.52635633762895,19.35895654260712,67.5280944866425,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5888.25875,6174.432,3087.216,time column: time,audio_duration,H2
311.00722913508554,1980.1264518897008,3199.917023184177,4.052592322581067,2.9560596465317706,4.990098867523185,6769.2307692307695,0.0010272512140018,5888.37375,0.027,0.3214285714285714,part10_0-0-1501-1,i,42d56bbf-Audio_SP23.v0,group_0,1,fave,194.773544506898,69.61805425054038,10,simplemente,,0.0600000000004001,era,una,s,m,s,m,internal,10,5400.0,488.3737499999996,0-0-1501-1,42d56bbf-Audio_SP23_part10,57.5464427955694,19.222080542860635,146.95095145411133,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5888.37375,6174.432,3087.216,time column: time,audio_duration,H2
490.10396471798913,1866.84211024017,3664.98933519,3.0027127637179625,3.2914791442601463,4.094855785445531,6769.2307692307695,4.88801187077e-05,5888.56275,0.025,0.3378378378378378,part10_0-0-1501-5,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,175.4723544556774,75.28057839040031,10,simplemente,,0.0500000000001819,era,una,l,m,l,m,internal,10,5400.0,488.5627500000002,0-0-1501-5,42d56bbf-Audio_SP23_part10,20.14009821149024,26.88259750240221,60.03068123521758,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5888.56275,6174.432,3087.216,time column: time,audio_duration,H2
621.1842171536158,1413.2680367319845,2268.321141002906,3.699394372930037,3.2832000381437423,4.233195631171492,4435.897435897436,0.0001317471177048,5889.02775,0.035,0.3365384615384616,part10_0-0-1502-2,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,164.69346820674284,69.51783631781652,10,una,,0.0799999999999272,simplemente,información,n,#,n,i,final,10,5400.0,489.02775000000025,0-0-1502-2,42d56bbf-Audio_SP23_part10,40.4228157938577,26.6609524026736,68.93717834925172,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5889.02775,6174.432,3087.216,time column: time,audio_duration,H2
377.2024116238252,1384.9476711003515,2299.836289351099,3.5424746112554564,3.11674472694428,3.611113750325288,4615.384615384615,6.662092968029456e-06,5889.50275,0.025,0.3378378378378378,part10_0-0-1503-9,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,126.68932238738267,72.59307861441157,10,información,,0.0500000000001819,una,accesoria,i,n,i,n,internal,10,5400.0,489.5027499999998,0-0-1503-9,42d56bbf-Audio_SP23_part10,34.55231703668399,22.57277935322771,37.00724670376503,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5889.50275,6174.432,3087.216,time column: time,audio_duration,H2
440.85514325352807,1351.5214152479916,2363.3627588947056,3.299261720067573,3.026490889050148,3.748954237190556,4974.358974358975,0.0025325660159604,5889.59775,0.055,0.3353658536585365,part10_0-0-1504-0,a,42d56bbf-Audio_SP23.v0,group_0,1,fave,149.1351067424086,77.01520698630546,10,accesoria,,0.1400000000003274,información,",",#,z,n,z,initial,10,5400.0,489.5977499999997,0-0-1504-0,42d56bbf-Audio_SP23_part10,27.09262959057991,20.624730986360845,42.47663827673666,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5889.59775,6174.432,3087.216,time column: time,audio_duration,H2
465.7160102563243,1099.3124681342597,2270.8589680463,3.359783466658287,3.7578804353325066,3.4800214267656084,5512.820512820513,0.0001280129858886,5890.73775,0.035,0.3365384615384615,part10_0-0-1506-3,o,42d56bbf-Audio_SP23.v0,group_0,1,fave,131.715822482853,79.4495597329441,10,pero,,0.0799999999999272,",",probablemente,R,#,R,p,final,10,5400.0,490.7377500000003,0-0-1506-3,42d56bbf-Audio_SP23_part10,28.78295773440257,42.85749041847869,32.46041759017172,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5890.73775,6174.432,3087.216,time column: time,audio_duration,H2
396.9443754627592,1924.807244561412,3648.211065739767,3.9880618014123472,3.557434248257496,4.232374748840496,6948.717948717948,0.002208951145737,5891.19275,0.045,0.3358208955223881,part10_0-0-1507-7,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,175.24815767031626,82.04635265191769,10,probablemente,,0.1099999999996725,pero,decía,l,m,l,m,internal,10,5400.0,491.1927500000001,0-0-1507-7,42d56bbf-Audio_SP23_part10,53.95022171921318,35.073092752940525,68.88061225782502,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5891.19275,6174.432,3087.216,time column: time,audio_duration,H2
388.4112449356926,1917.8346963953688,2426.1327958078145,2.668622397549761,3.387363665659486,3.772095220608258,6410.25641025641,4.16537216622e-05,5891.545749999999,0.031,0.3297872340425531,part10_0-0-1507-12,e,42d56bbf-Audio_SP23.v0,group_0,1,fave,193.37051817489183,81.49057883367149,10,probablemente,,0.0700000000006184,pero,decía,t,#,t,d,final,10,5400.0,491.5457499999997,0-0-1507-12,42d56bbf-Audio_SP23_part10,14.420090351575514,29.58784590414046,43.47105092636386,42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,5891.545749999999,6174.432,3087.216,time column: time,audio_duration,H2
