audio,vowel_norm,f1_median,f2_median,chosen_k,cluster,join_key,Part,InfoInterv,Time.code.and.speaker,Time.code.and.speaker.2,Speaker,Sex,Age,CivilStatus,CountryRes,MigrationStatus,Location,Education,Discipline,English,EmploymentStatus,Type_mw_earnings,Amount_mw_earnings,Income_group,_merge
713a2f9b-Audio_SP16,a,0.9589375450848052,-0.2526189795748628,3,3,713a2f9b-audio_sp16,Part2,Interviewee,713a2f9b-Audio_SP16,ITW29b-Audio_SP16.v0.seg,ITW29b,M,25-34,,PE,Native,Lima,Bachelor,Eng-Science,ENG,Employee,Extra_income,301.53,2,both
7a414497-Audio_SP15,a,0.8874472319491383,-0.3001636756800622,3,3,7a414497-audio_sp15,Part1,Interviewee,7a414497-Audio_SP15,ITW20-Audio_SP15.v0.seg,ITW20,F,35-44,Married,DO,Native,Montellano,Bachelor,Bus-Econ,ENG,Student,Main_income,696.86,3,both
7aee4437-Audio_SP12,a,0.9376079033956491,-0.3541820061069337,3,3,7aee4437-audio_sp12,Part1,Interviewee,7aee4437-Audio_SP12,ITW12-Audio_SP12.v0.seg,ITW12,M,18-24,Single,VE,Native,Maracay,Short HE,Eng-Science,ENG,Student,Main_income,654.16,3,both
7c3c98d2-Audio_SP13,a,0.8626776650674036,-0.4484327350678543,3,3,7c3c98d2-audio_sp13,Part2,Interviewee,7c3c98d2-Audio_SP13,ITW36-Audio_SP13.v0.seg,ITW36,F,18-24,Cohabitation,EC,Native,Quito,Bachelor,Eng-Science,ENG,Student,Main_income,447.88,2,both
7dec1dd7-Audio_SP13,a,1.0277000117755033,-0.1627993214108428,3,1,7dec1dd7-audio_sp13,Part1,Interviewee,7dec1dd7-Audio_SP13,ITW25-Audio_SP13.v0.seg,ITW25,M,18-24,Married,AR,Native,Buenos Aires,Bachelor,Eng-Science,ENG,Independent,Extra_income,1343.28,4,both
7e277fda-Audio_SP28,a,0.88263834679359,-0.910202308786593,3,2,7e277fda-audio_sp28,Part2,Interviewee,7e277fda-Audio_SP28,ITW19-Audio_SP28.v0.seg,ITW19,M,35-44,Married,VE,Native,Guacara,Short HE,Eng-Science,ENG,Employee,Main_income,847.28,3,both
85c7895f-Audio_SP16,a,1.3345586385685189,-0.2375079617329986,3,1,85c7895f-audio_sp16,Part2,Interviewee,85c7895f-Audio_SP16,ITW37-Audio_SP16.v0.seg,ITW37,M,35-44,Married,CO,Native,Bogotá,Bachelor,Eng-Science,ENG,Employee,Extra_income,362.23,2,both
919b9bc1-Audio_SP14,a,0.913367691242278,-0.159946037821451,3,3,919b9bc1-audio_sp14,Part2,Interviewee,919b9bc1-Audio_SP14,ITW33-Audio_SP14.v0.seg,ITW33,M,25-34,Married,PE,Native,Trujillo,Bachelor,Bus-Econ,noENG,Independent,Main_income,295.96,2,both
9a0c18cb-Audio_SP14,a,1.1348445223737822,-0.2054170342249845,3,1,9a0c18cb-audio_sp14,Part2,Interviewee,9a0c18cb-Audio_SP14,ITW29c-Audio_SP14.v0.seg,ITW29c,M,25-34,Married,VE,Native,Caracas,Bachelor,Eng-Science,ENG,Student,Main_income,976.5,3,both
a1a056ce-Audio_SP11,a,0.9093765241941558,-0.1685760189234851,3,3,a1a056ce-audio_sp11,Part1,Interviewee,a1a056ce-Audio_SP11,ITW14-Audio_SP11.v0.seg,ITW14,F,18-24,Single,PE,Native,Lima,Bachelor,Law-Soc,ENG,Student,Main_income,2153.38,4,both
a452055c-Audio_SP11,a,1.1229786204819343,-0.2069128977012802,3,1,a452055c-audio_sp11,Part2,Interviewee,a452055c-Audio_SP11,ITW35-Audio_SP11.v0.seg,ITW35,M,45-64,Married,EC,Migrant,Quevedo,Master,Eng-Science,ENG,Employee,Extra_income,513.67,3,both
adad0062-Audio_SP17,a,0.9549126941130992,-0.3658987173400548,3,3,adad0062-audio_sp17,Part1,Interviewee,adad0062-Audio_SP17,ITW15-Audio_SP17.v0.seg,ITW15,M,25-34,Cohabitation,EC,Migrant,Cuenca,Bachelor,Eng-Science,ENG,Independent,Main_income,757.84,3,both
c3533b36-Audio_SP16,a,1.115224143919246,-0.1802336694306907,3,1,c3533b36-audio_sp16,Part2,Interviewee,c3533b36-Audio_SP16,ITW26b-Audio_SP16.v0.seg,ITW26b,M,18-24,Single,VE,Native,Caracas,Bachelor,Eng-Science,ENG,Student,Main_income,833.62,3,both
cafd9c21-Audio_SP27,a,1.0459896868838736,-0.267448459020607,3,1,cafd9c21-audio_sp27,Part1,Interviewee,cafd9c21-Audio_SP27,ITW8-Audio_SP27.v0.seg,ITW8,M,25-34,Single,CO,Migrant,Barranquilla,Bachelor,Eng-Science,noENG,Employee,Extra_income,128.76,2,both
d4c363bf-Audio_SP13,a,1.0802520842475836,-0.3521306220119359,3,1,d4c363bf-audio_sp13,Part1,Interviewee,d4c363bf-Audio_SP13,ITW18-Audio_SP13.v0.seg,ITW18,F,18-24,Single,AR,Migrant,Victoria,Bachelor,Eng-Science,ENG,Not_in_work,Main_income,1004.9,4,both
dbeec025-Audio_SP13,a,0.7693654271888339,-0.2639423568186284,3,3,dbeec025-audio_sp13,Part1,Interviewee,dbeec025-Audio_SP13,ITW6-Audio_SP13.v0.seg,ITW6,M,35-44,Single,VE,Native,Caracas,Short HE,Bus-Econ,noENG,Independent,Extra_income,1016.88,4,both
e90f8e4d-Audio_SP22,a,0.8078042618845667,-0.2258299124018027,3,3,e90f8e4d-audio_sp22,Part1,Interviewee,e90f8e4d-Audio_SP22,ITW22-Audio_SP22.v0.seg,ITW22,M,25-34,Single,CO,Native,Turbaco,Bachelor,CompScience,ENG,Student,Extra_income,625.18,3,both
f061152e-Audio_SP12,a,0.795294293696791,-0.1346539083649794,3,3,f061152e-audio_sp12,Part2,Interviewee,f061152e-Audio_SP12,ITW23b-Audio_SP12.v0.seg,ITW23b,F,25-34,Cohabitation,VE,Native,Puerto La Cruz,Bachelor,CompScience,ENG,Employee,Main_income,1653.98,4,both
fcd45f4d-Audio_SP21,a,0.8891456810587594,-0.2371526291751623,3,3,fcd45f4d-audio_sp21,Part2,Interviewee,fcd45f4d-Audio_SP21,ITW34-Audio_SP21.v0.seg,ITW34,M,25-34,Single,VE,Native,Caracas,Bachelor,Eng-Science,noENG,Independent,Extra_income,230.76,2,both
061ea7d0-Audio_SP16,e,-0.2909955614648489,0.5911156987383106,3,3,061ea7d0-audio_sp16,Part2,Interviewee,061ea7d0-Audio_SP16,ITW27-Audio_SP16.v0.seg,ITW27,M,25-34,Single,CO,Native,Corozal,Short HE,Eng-Science,noENG,Student,Main_income,477.91,2,both
0af9ac47-Audio_SP14,e,-0.267879009668385,0.7382903756261822,3,3,0af9ac47-audio_sp14,Part2,Interviewee,0af9ac47-Audio_SP14,ITW23c-Audio_SP14.v0.seg,ITW23c,M,18-24,Single,VE,Native,Barquisimeto,Bachelor,Bus-Econ,ENG,Not_in_work,Main_income,530.27,3,both
0e6115f2-Audio_SP19,e,-0.271961380548561,0.5262695720564323,3,3,0e6115f2-audio_sp19,Part1,Interviewee,0e6115f2-Audio_SP19,ITW5-Audio_SP19.v0.seg,ITW5,M,25-34,Cohabitation,PE,Native,Huaraz,Bachelor,Eng-Science,noENG,Student,Main_income,137.05,2,both
0f786745-Audio_SP20,e,-0.1028823393733756,0.8818766530351202,3,2,0f786745-audio_sp20,Part2,Interviewee,0f786745-Audio_SP20,ITW31-Audio_SP20.v0.seg,ITW31,M,18-24,Cohabitation,DO,Native,Santo Domingo,Bachelor,CompScience,noENG,Independent,Extra_income,43.35,1,both
12c532f8-Audio_SP15,e,-0.4955381551183198,0.7691155447658186,3,1,12c532f8-audio_sp15,Part1,Interviewee,12c532f8-Audio_SP15,ITW1-Audio_SP15.v0.seg,ITW1,M,45-64,Divorced,AR,Native,Lujan,Secondary/Vocational,Eng-Science,ENG,Independent,Extra_income,1071.71,4,both
181d5ce9-Audio_SP21,e,-0.2459533971000396,0.669106290745392,3,3,181d5ce9-audio_sp21,Part2,Interviewee,181d5ce9-Audio_SP21,ITW22b-Audio_SP21.v0.seg,ITW22b,M,25-34,Single,VE,Native,Ciudad Bolívar,Bachelor,Eng-Science,ENG,Independent,Main_income,276.8,2,both
1c403477-Audio_SP13,e,-0.233738927029348,0.5798808523279411,3,3,1c403477-audio_sp13,Part2,Interviewee,1c403477-Audio_SP13,ITW41-Audio_SP13.v0.seg,ITW41,M,35-44,Married,SV,Native,San Salvador,Master,Bus-Econ,noENG,Employee,Extra_income,73.24,1,both
1d46eb6e-Audio_SP18,e,-0.3829757848985501,0.7355042131528012,3,3,1d46eb6e-audio_sp18,Part1,Interviewee,1d46eb6e-Audio_SP18,ITW9-Audio_SP18.v0.seg,ITW9,M,35-44,Cohabitation,VE,Native,San Cristóbal,Secondary/Vocational,CompScience,ENG,Not_in_work,Main_income,1096.45,4,both
2988c6fc-Audio_SP13,e,-0.2928888393538684,0.6504001800077512,3,3,2988c6fc-audio_sp13,Part2,Interviewee,2988c6fc-Audio_SP13,ITW42-Audio_SP13.v0.seg,ITW42,M,35-44,Cohabitation,VE,Native,Barinas,Secondary/Vocational,Bus-Econ,noENG,Employee,Main_income,194.03,2,both
2e25304d-Audio_SP12,e,-0.3796725911349158,0.5290215976545013,3,3,2e25304d-audio_sp12,Part2,Interviewee,2e25304d-Audio_SP12,ITW32-Audio_SP12.v0.seg,ITW32,F,25-34,Cohabitation,AR,Native,Buenos Aires,Secondary/Vocational,Eng-Science,ENG,Student,Extra_income,798.92,3,both
30a90cb2-Audio_SP21,e,-0.1604213677876544,0.3661683590375479,3,3,30a90cb2-audio_sp21,Part1,Interviewee,30a90cb2-Audio_SP21,ITW3-Audio_SP21.v0.seg,ITW3,M,25-34,Single,EC,Native,Quito,Master,Law-Soc,ENG,Employee,Main_income,617.4,3,both
3361ee02-Audio_SP10,e,-0.2078924214133015,0.5049028785713271,3,3,3361ee02-audio_sp10,Part2,Interviewee,3361ee02-Audio_SP10,ITW29-Audio_SP10.v0.seg,ITW29,M,18-24,Single,PY,Native,Itagua,Secondary/Vocational,CompScience,ENG,Student,Main_income,19.6,1,both
34ad326e-Audio_SP7,e,-0.5250256201791242,0.4004409756255562,3,1,34ad326e-audio_sp7,Part1,Interviewee,34ad326e-Audio_SP7,ITW2-Audio_SP7.v0.seg,ITW2,M,18-24,Single,CO,Native,Popayán,Bachelor,Bus-Econ,ENG,Student,Main_income,327.21,2,both
375a28cd-Audio_SP16,e,-0.2415595102755311,1.1311867383352785,3,2,375a28cd-audio_sp16,Part1,Interviewee,375a28cd-Audio_SP16,ITW17-Audio_SP16.v0.seg,ITW17,M,35-44,Single,AR,Native,Buenos Aires,Short HE,CompScience,ENG,Independent,Main_income,235.2,2,both
42d56bbf-Audio_SP23,e,-0.1888095586194922,0.741154814295085,3,3,42d56bbf-audio_sp23,Part2,Interviewee,42d56bbf-Audio_SP23,ITW21-Audio_SP23.v0.seg,ITW21,M,45-64,Married,VE,Native,San Antonio de los Altos,Master,Eng-Science,ENG,Not_in_work,Main_income,991.55,3,both
49ae7020-Audio_SP17,e,-0.1917620000714511,0.460531901223511,3,3,49ae7020-audio_sp17,Part1,Interviewee,49ae7020-Audio_SP17,ITW13-Audio_SP17.v0.seg,ITW13,M,25-34,Married,PE,Native,Chincha,Bachelor,Eng-Science,ENG,Not_in_work,Extra_income,2151.72,4,both
501e6487-Audio_SP19,e,-0.2164646229299857,0.6271964487702404,3,3,501e6487-audio_sp19,Part2,Interviewee,501e6487-Audio_SP19,ITW38-Audio_SP19.v0.seg,ITW38,M,35-44,Cohabitation,VE,Native,Merida,Bachelor,Eng-Science,noENG,Independent,Main_income,51.58,1,both
514fc6b6-Audio_SP19,e,-0.3135116163091176,0.5675990965825931,3,3,514fc6b6-audio_sp19,Part1,Interviewee,514fc6b6-Audio_SP19,ITW10-Audio_SP19.v0.seg,ITW10,F,25-34,Single,VE,Native,Cua,Short HE,Law-Soc,ENG,Employee,Main_income,1164.84,4,both
51a17262-Audio_SP18,e,-0.1836017802653572,0.3789547020150144,3,3,51a17262-audio_sp18,Part1,Interviewee,51a17262-Audio_SP18,ITW23-Audio_SP18.v0.seg,ITW23,F,25-34,Single,VE,Native,Valencia,Bachelor,Law-Soc,noENG,Other,Main_income,1208.04,4,both
5278b5b9-Audio_SP15,e,-0.2495146533778451,0.5846781474481308,3,3,5278b5b9-audio_sp15,Part2,Interviewee,5278b5b9-Audio_SP15,ITW39-Audio_SP15.v0.seg,ITW39,M,18-24,Single,CO,Native,Alban,Secondary/Vocational,Bus-Econ,ENG,Other,Main_income,556.52,3,both
5586979c-Audio_SP18,e,-0.3660098625465194,0.5837724346553278,3,3,5586979c-audio_sp18,Part2,Interviewee,5586979c-Audio_SP18,ITW43-Audio_SP18.v0.seg,ITW43,M,18-24,Single,CO,Native,Turbaco,Bachelor,Bus-Econ,ENG,Student,Extra_income,1135.3,4,both
5819ce7a-Audio_SP11,e,-0.3731753812618755,0.5776258386338531,3,3,5819ce7a-audio_sp11,Part2,Interviewee,5819ce7a-Audio_SP11,ITW40-Audio_SP11.v0.seg,ITW40,F,18-24,Single,VE,Native,Caracas,Secondary/Vocational,Law-Soc,ENG,Student,Main_income,666.55,3,both
5a932187-audio_SP16,e,-0.2091572931610735,0.3328737373205029,3,3,5a932187-audio_sp16,Part2,Interviewee,5a932187-audio_SP16,ITW20b-audio_SP16.v0.seg,ITW20b,F,35-44,Divorced,VE,Native,Valencia,Secondary/Vocational,Law-Soc,ENG,Independent,Main_income,888.73,3,both
63239054-Audio_SP15,e,-0.3862872394697563,0.69728172936689,3,3,63239054-audio_sp15,Part2,Interviewee,63239054-Audio_SP15,ITW26-Audio_SP15.v0.seg,ITW26,M,25-34,Single,CO,Native,Bogotá,Bachelor,Law-Soc,ENG,Employee,Extra_income,71.38,1,both
713a2f9b-Audio_SP16,e,-0.1846977489333714,0.5504870995010744,3,3,713a2f9b-audio_sp16,Part2,Interviewee,713a2f9b-Audio_SP16,ITW29b-Audio_SP16.v0.seg,ITW29b,M,25-34,,PE,Native,Lima,Bachelor,Eng-Science,ENG,Employee,Extra_income,301.53,2,both
7a414497-Audio_SP15,e,-0.2118730147554147,0.5076766045008305,3,3,7a414497-audio_sp15,Part1,Interviewee,7a414497-Audio_SP15,ITW20-Audio_SP15.v0.seg,ITW20,F,35-44,Married,DO,Native,Montellano,Bachelor,Bus-Econ,ENG,Student,Main_income,696.86,3,both
7aee4437-Audio_SP12,e,-0.3291817824128392,0.5215628759016318,3,3,7aee4437-audio_sp12,Part1,Interviewee,7aee4437-Audio_SP12,ITW12-Audio_SP12.v0.seg,ITW12,M,18-24,Single,VE,Native,Maracay,Short HE,Eng-Science,ENG,Student,Main_income,654.16,3,both
7c3c98d2-Audio_SP13,e,-0.4559604549519111,0.3154459375827033,3,1,7c3c98d2-audio_sp13,Part2,Interviewee,7c3c98d2-Audio_SP13,ITW36-Audio_SP13.v0.seg,ITW36,F,18-24,Cohabitation,EC,Native,Quito,Bachelor,Eng-Science,ENG,Student,Main_income,447.88,2,both
7dec1dd7-Audio_SP13,e,-0.5442994147143461,0.6750725257318001,3,1,7dec1dd7-audio_sp13,Part1,Interviewee,7dec1dd7-Audio_SP13,ITW25-Audio_SP13.v0.seg,ITW25,M,18-24,Married,AR,Native,Buenos Aires,Bachelor,Eng-Science,ENG,Independent,Extra_income,1343.28,4,both
7e277fda-Audio_SP28,e,-0.0129039730602373,0.7824697000957409,3,2,7e277fda-audio_sp28,Part2,Interviewee,7e277fda-Audio_SP28,ITW19-Audio_SP28.v0.seg,ITW19,M,35-44,Married,VE,Native,Guacara,Short HE,Eng-Science,ENG,Employee,Main_income,847.28,3,both
85c7895f-Audio_SP16,e,-0.4884665825301033,0.8260019829161671,3,1,85c7895f-audio_sp16,Part2,Interviewee,85c7895f-Audio_SP16,ITW37-Audio_SP16.v0.seg,ITW37,M,35-44,Married,CO,Native,Bogotá,Bachelor,Eng-Science,ENG,Employee,Extra_income,362.23,2,both
919b9bc1-Audio_SP14,e,-0.2721520669314176,0.5551178075149177,3,3,919b9bc1-audio_sp14,Part2,Interviewee,919b9bc1-Audio_SP14,ITW33-Audio_SP14.v0.seg,ITW33,M,25-34,Married,PE,Native,Trujillo,Bachelor,Bus-Econ,noENG,Independent,Main_income,295.96,2,both
9a0c18cb-Audio_SP14,e,-0.3004887597406653,0.7392815775553165,3,3,9a0c18cb-audio_sp14,Part2,Interviewee,9a0c18cb-Audio_SP14,ITW29c-Audio_SP14.v0.seg,ITW29c,M,25-34,Married,VE,Native,Caracas,Bachelor,Eng-Science,ENG,Student,Main_income,976.5,3,both
a1a056ce-Audio_SP11,e,-0.2489119063808176,0.5557551666138367,3,3,a1a056ce-audio_sp11,Part1,Interviewee,a1a056ce-Audio_SP11,ITW14-Audio_SP11.v0.seg,ITW14,F,18-24,Single,PE,Native,Lima,Bachelor,Law-Soc,ENG,Student,Main_income,2153.38,4,both
a452055c-Audio_SP11,e,-0.2929664845631071,0.6632808133320285,3,3,a452055c-audio_sp11,Part2,Interviewee,a452055c-Audio_SP11,ITW35-Audio_SP11.v0.seg,ITW35,M,45-64,Married,EC,Migrant,Quevedo,Master,Eng-Science,ENG,Employee,Extra_income,513.67,3,both
