config_id,true_vowel,predicted_vowel,count,row_percent
Nearest centroid__F1_F2_F3,e,o,1413,3.8544422924793365
Nearest centroid__F1_F2_F3,e,u,610,1.6639842876237758
Nearest centroid__F1_F2_F3,i,a,669,2.9944944272861553
Nearest centroid__F1_F2_F3,i,e,4699,21.033078197036836
Nearest centroid__F1_F2_F3,i,i,16603,74.31627948614654
Nearest centroid__F1_F2_F3,i,o,80,0.358086030168748
Nearest centroid__F1_F2_F3,i,u,290,1.2980618593617117
Nearest centroid__F1_F2_F3,o,a,4241,12.76679009000873
Nearest centroid__F1_F2_F3,o,e,1356,4.082001264336675
Nearest centroid__F1_F2_F3,o,i,89,0.2679189620397965
Nearest centroid__F1_F2_F3,o,o,16276,48.996056473704805
Nearest centroid__F1_F2_F3,o,u,11257,33.88723320990999
Nearest centroid__F1_F2_F3,u,a,316,4.71290082028337
Nearest centroid__F1_F2_F3,u,e,314,4.683072334079045
Nearest centroid__F1_F2_F3,u,i,163,2.431021625652498
Nearest centroid__F1_F2_F3,u,o,1242,18.523489932885905
Nearest centroid__F1_F2_F3,u,u,4670,69.64951528709918
Nearest centroid__ALL_SAFE_NUMERIC,a,a,27697,69.82026267362424
Nearest centroid__ALL_SAFE_NUMERIC,a,e,4218,10.63298797549724
Nearest centroid__ALL_SAFE_NUMERIC,a,i,307,0.773904056063929
Nearest centroid__ALL_SAFE_NUMERIC,a,o,6196,15.619249287857016
Nearest centroid__ALL_SAFE_NUMERIC,a,u,1251,3.153596006957574
Nearest centroid__ALL_SAFE_NUMERIC,e,a,3914,10.676777871736817
Nearest centroid__ALL_SAFE_NUMERIC,e,e,21874,59.66883984833192
Nearest centroid__ALL_SAFE_NUMERIC,e,i,8493,23.167571401292996
Nearest centroid__ALL_SAFE_NUMERIC,e,o,1222,3.333424261436482
Nearest centroid__ALL_SAFE_NUMERIC,e,u,1156,3.1533866172017784
Nearest centroid__ALL_SAFE_NUMERIC,i,a,794,3.5540038494248245
Nearest centroid__ALL_SAFE_NUMERIC,i,e,4447,19.905107202005283
Nearest centroid__ALL_SAFE_NUMERIC,i,i,16628,74.42818137057428
Nearest centroid__ALL_SAFE_NUMERIC,i,o,63,0.2819927487578891
Nearest centroid__ALL_SAFE_NUMERIC,i,u,409,1.8307148292377244
Nearest centroid__ALL_SAFE_NUMERIC,o,a,4711,14.181643035612149
Nearest centroid__ALL_SAFE_NUMERIC,o,e,1520,4.575694632589783
Nearest centroid__ALL_SAFE_NUMERIC,o,i,104,0.31307384328245885
Nearest centroid__ALL_SAFE_NUMERIC,o,o,15777,47.49390409103224
Nearest centroid__ALL_SAFE_NUMERIC,o,u,11107,33.43568439748337
Nearest centroid__ALL_SAFE_NUMERIC,u,a,361,5.384041759880686
Nearest centroid__ALL_SAFE_NUMERIC,u,e,241,3.594332587621178
Nearest centroid__ALL_SAFE_NUMERIC,u,i,167,2.4906785980611486
Nearest centroid__ALL_SAFE_NUMERIC,u,o,1675,24.981357196122296
Nearest centroid__ALL_SAFE_NUMERIC,u,u,4261,63.54958985831469
