audio,vowel,n_points,f1_median,f2_median,f1_mean,f2_mean
2988c6fc-Audio_SP13,u,91,425.9377099391624,897.3243534150889,438.0166932555754,1010.6045022827706
2e25304d-Audio_SP12,u,67,498.54314881731,937.4160717948253,535.614437240984,1001.9378640757994
30a90cb2-Audio_SP21,u,107,418.6653028479277,1050.114584733094,420.2329097154503,1063.3380946271989
3361ee02-Audio_SP10,u,120,394.5243415210237,972.2735361093629,412.5381110289307,1049.399242961805
34ad326e-Audio_SP7,u,59,357.0016975366337,964.5957255395532,402.77365505886587,988.1363666702149
375a28cd-Audio_SP16,u,203,412.670403975195,845.450760096715,419.9185232703098,873.1992194638274
42d56bbf-Audio_SP23,u,702,339.04996468135096,792.9646724867293,341.3036971219035,940.2353767569975
49ae7020-Audio_SP17,u,87,502.0233756931644,954.9290121085972,509.0163085725989,1032.720322862738
501e6487-Audio_SP19,u,303,356.59563758039883,1071.3555951748183,362.60005204662286,1103.6221427584014
514fc6b6-Audio_SP19,u,201,498.0778283096007,873.3472533816238,499.1907974215503,915.5908347627596
51a17262-Audio_SP18,u,110,441.95851316731364,916.4845745850535,443.8097928512154,1056.0716386240767
5278b5b9-Audio_SP15,u,98,356.2899651987251,1138.7376982365843,357.9266196186326,1136.5913337515801
5586979c-Audio_SP18,u,113,442.3057582097944,1018.2689828587676,442.4392720540628,1100.3328042068442
5819ce7a-Audio_SP11,u,144,460.7589559721139,973.7771957354091,479.2393913621758,1084.936038906422
5a932187-audio_SP16,u,212,484.37835255644495,1193.1836767731015,497.5574946561276,1224.478337462597
63239054-Audio_SP15,u,96,432.5440503390523,952.3511433810521,441.10087939569127,1059.2701491783985
713a2f9b-Audio_SP16,u,173,373.4504956335479,1017.591613213347,379.8136828457237,1072.8695870122172
7a414497-Audio_SP15,u,110,409.485653608252,992.7449020340098,419.628958883811,1037.8358102912384
7aee4437-Audio_SP12,u,113,461.6247067201473,1097.6118000296494,465.491323264905,1109.060132992212
7c3c98d2-Audio_SP13,u,158,384.2300811559452,1197.0577195017145,476.5723935967927,1245.2178005087296
7dec1dd7-Audio_SP13,u,132,416.94373833122927,927.5592837035234,442.2830438685382,1013.6946574478662
7e277fda-Audio_SP28,u,179,449.6995008256927,894.0251391319285,448.8907218177507,931.3342638725562
