audio,vowel,n_points
42d56bbf-Audio_SP23,o,1224
42d56bbf-Audio_SP23,u,374
49ae7020-Audio_SP17,a,357
49ae7020-Audio_SP17,e,363
49ae7020-Audio_SP17,i,294
49ae7020-Audio_SP17,o,327
49ae7020-Audio_SP17,u,54
501e6487-Audio_SP19,a,869
501e6487-Audio_SP19,e,818
501e6487-Audio_SP19,i,515
501e6487-Audio_SP19,o,612
501e6487-Audio_SP19,u,167
514fc6b6-Audio_SP19,a,653
514fc6b6-Audio_SP19,e,622
514fc6b6-Audio_SP19,i,412
514fc6b6-Audio_SP19,o,418
514fc6b6-Audio_SP19,u,106
51a17262-Audio_SP18,a,378
51a17262-Audio_SP18,e,409
51a17262-Audio_SP18,i,244
51a17262-Audio_SP18,o,302
51a17262-Audio_SP18,u,58
5278b5b9-Audio_SP15,a,279
5278b5b9-Audio_SP15,e,247
5278b5b9-Audio_SP15,i,340
5278b5b9-Audio_SP15,o,285
5278b5b9-Audio_SP15,u,63
5586979c-Audio_SP18,a,739
5586979c-Audio_SP18,e,697
5586979c-Audio_SP18,i,432
5586979c-Audio_SP18,o,609
5586979c-Audio_SP18,u,74
5819ce7a-Audio_SP11,a,634
5819ce7a-Audio_SP11,e,593
5819ce7a-Audio_SP11,i,465
5819ce7a-Audio_SP11,o,454
5819ce7a-Audio_SP11,u,68
5a932187-audio_SP16,a,598
5a932187-audio_SP16,e,560
5a932187-audio_SP16,i,420
5a932187-audio_SP16,o,452
5a932187-audio_SP16,u,131
63239054-Audio_SP15,a,400
63239054-Audio_SP15,e,359
63239054-Audio_SP15,i,292
63239054-Audio_SP15,o,458
63239054-Audio_SP15,u,47
713a2f9b-Audio_SP16,a,419
713a2f9b-Audio_SP16,e,458
713a2f9b-Audio_SP16,i,389
713a2f9b-Audio_SP16,o,431
713a2f9b-Audio_SP16,u,71
7a414497-Audio_SP15,a,495
7a414497-Audio_SP15,e,334
7a414497-Audio_SP15,i,317
7a414497-Audio_SP15,o,288
7a414497-Audio_SP15,u,69
7aee4437-Audio_SP12,a,218
7aee4437-Audio_SP12,e,198
7aee4437-Audio_SP12,i,148
7aee4437-Audio_SP12,o,121
7aee4437-Audio_SP12,u,51
7c3c98d2-Audio_SP13,a,688
7c3c98d2-Audio_SP13,e,521
7c3c98d2-Audio_SP13,i,444
7c3c98d2-Audio_SP13,o,405
7c3c98d2-Audio_SP13,u,79
7dec1dd7-Audio_SP13,a,393
7dec1dd7-Audio_SP13,e,302
7dec1dd7-Audio_SP13,i,228
7dec1dd7-Audio_SP13,o,251
7dec1dd7-Audio_SP13,u,66
7e277fda-Audio_SP28,a,518
7e277fda-Audio_SP28,e,483
7e277fda-Audio_SP28,i,419
7e277fda-Audio_SP28,o,427
7e277fda-Audio_SP28,u,98
85c7895f-Audio_SP16,a,893
85c7895f-Audio_SP16,e,752
85c7895f-Audio_SP16,i,695
85c7895f-Audio_SP16,o,722
85c7895f-Audio_SP16,u,106
919b9bc1-Audio_SP14,a,239
919b9bc1-Audio_SP14,e,300
919b9bc1-Audio_SP14,i,235
919b9bc1-Audio_SP14,o,304
919b9bc1-Audio_SP14,u,66
9a0c18cb-Audio_SP14,a,322
9a0c18cb-Audio_SP14,e,250
9a0c18cb-Audio_SP14,i,241
9a0c18cb-Audio_SP14,o,336
9a0c18cb-Audio_SP14,u,59
a1a056ce-Audio_SP11,a,225
a1a056ce-Audio_SP11,e,249
a1a056ce-Audio_SP11,i,185
a1a056ce-Audio_SP11,o,185
a1a056ce-Audio_SP11,u,14
a452055c-Audio_SP11,a,639
a452055c-Audio_SP11,e,476
a452055c-Audio_SP11,i,357
a452055c-Audio_SP11,o,523
a452055c-Audio_SP11,u,134
adad0062-Audio_SP17,a,670
adad0062-Audio_SP17,e,561
adad0062-Audio_SP17,i,428
adad0062-Audio_SP17,o,378
adad0062-Audio_SP17,u,103
c3533b36-Audio_SP16,a,313
c3533b36-Audio_SP16,e,270
c3533b36-Audio_SP16,i,183
c3533b36-Audio_SP16,o,302
c3533b36-Audio_SP16,u,67
cafd9c21-Audio_SP27,a,747
cafd9c21-Audio_SP27,e,675
cafd9c21-Audio_SP27,i,492
cafd9c21-Audio_SP27,o,602
cafd9c21-Audio_SP27,u,101
d4c363bf-Audio_SP13,a,476
d4c363bf-Audio_SP13,e,507
d4c363bf-Audio_SP13,i,398
d4c363bf-Audio_SP13,o,330
d4c363bf-Audio_SP13,u,68
dbeec025-Audio_SP13,a,462
dbeec025-Audio_SP13,e,377
dbeec025-Audio_SP13,i,274
dbeec025-Audio_SP13,o,296
dbeec025-Audio_SP13,u,87
e90f8e4d-Audio_SP22,a,392
e90f8e4d-Audio_SP22,e,344
e90f8e4d-Audio_SP22,i,258
e90f8e4d-Audio_SP22,o,355
e90f8e4d-Audio_SP22,u,58
f061152e-Audio_SP12,a,441
f061152e-Audio_SP12,e,374
f061152e-Audio_SP12,i,272
f061152e-Audio_SP12,o,270
f061152e-Audio_SP12,u,51
fcd45f4d-Audio_SP21,a,466
fcd45f4d-Audio_SP21,e,336
fcd45f4d-Audio_SP21,i,279
fcd45f4d-Audio_SP21,o,397
fcd45f4d-Audio_SP21,u,67
