audio,vowel,n_points,f1_median,f2_median,f1_mean,f2_mean
30a90cb2-Audio_SP21,o,429,477.5461725739918,1188.5677336381789,473.3556579449985,1128.499031861217
3361ee02-Audio_SP10,o,254,472.8458963261267,1102.3018882883127,480.7942809336364,1151.9695955189093
34ad326e-Audio_SP7,o,168,511.0059932341992,1133.8991362540573,515.6520122892706,1066.6931660328823
375a28cd-Audio_SP16,o,510,467.3907106457084,974.9937784374565,468.0210286315434,996.0645743679569
42d56bbf-Audio_SP23,o,1224,395.25245512667425,964.3649235939338,395.8873427497452,988.8366269102045
49ae7020-Audio_SP17,o,327,569.0133890905263,1166.8252375243878,571.7762480123057,1161.79174051498
501e6487-Audio_SP19,o,612,421.02926488359196,1182.5094328057262,415.56202072870246,1166.5865248025668
514fc6b6-Audio_SP19,o,418,603.111901639789,1202.289534620621,610.9011993917129,1202.994010811512
51a17262-Audio_SP18,o,302,515.6214479204923,967.1408882419722,507.6762694940789,1016.9100955684481
5278b5b9-Audio_SP15,o,285,416.1544709630524,1191.8055721314076,416.7637462053197,1214.0131840365386
5586979c-Audio_SP18,o,609,498.7662252875809,1151.4026477023488,507.9943483895754,1168.4097486672963
5819ce7a-Audio_SP11,o,454,542.108488926167,1115.3633905026081,559.185986952916,1179.9792650297552
5a932187-audio_SP16,o,452,574.3362153805804,1390.5496058920694,578.1165365977082,1336.7423196028615
63239054-Audio_SP15,o,458,515.0248878273994,1092.5035332261095,520.8014675136253,1099.5115411916936
713a2f9b-Audio_SP16,o,431,448.2491609819928,1084.9624131559492,444.72340237865035,1106.3131419269666
7a414497-Audio_SP15,o,288,537.2467084360679,1131.9948901698656,542.6923032847443,1131.0182755178298
7aee4437-Audio_SP12,o,121,518.7523732272407,1204.9404143805236,522.4047226353755,1232.5916366168003
7c3c98d2-Audio_SP13,o,405,631.168517347365,1347.5391728024065,644.7984832514704,1365.2930148440446
7dec1dd7-Audio_SP13,o,251,503.4754075411108,1165.3811688049743,511.1308912888435,1154.6838595552551
7e277fda-Audio_SP28,o,427,516.8110350423384,990.8303148850628,520.3412351348244,999.4329428757534
85c7895f-Audio_SP16,o,722,441.85839939033167,970.0326087414267,453.7751572555591,1020.714870720509
919b9bc1-Audio_SP14,o,304,505.7019536765258,1138.156374439377,503.7097872901615,1145.076542489111
9a0c18cb-Audio_SP14,o,336,486.518273568341,948.6379923469433,485.0239202795588,979.4298028385698
a1a056ce-Audio_SP11,o,185,515.7139889533706,1117.6589912453503,517.3821608928746,1157.6658505426442
a452055c-Audio_SP11,o,523,436.3324524082508,1002.019483246705,440.23979349279796,1001.6154183104186
adad0062-Audio_SP17,o,378,511.28091450624004,1020.7745277357636,512.5995882055048,1053.547564417105
c3533b36-Audio_SP16,o,302,488.7791405964075,1034.1535678507962,503.37688911571735,1051.4647240067284
cafd9c21-Audio_SP27,o,602,521.6470091271756,1035.6039409566906,525.743975697716,1076.4367478010595
d4c363bf-Audio_SP13,o,330,496.5980488524499,1131.1462046736162,493.81136674896953,1214.1184437852048
dbeec025-Audio_SP13,o,296,552.8282565945995,1105.550425140389,564.484572740113,1109.3729989358483
e90f8e4d-Audio_SP22,o,355,477.6637749969358,1002.542001983365,481.9968946480953,984.0040219563089
f061152e-Audio_SP12,o,270,595.5279634718331,1245.5429635923183,598.1272773233974,1230.9175537313483
fcd45f4d-Audio_SP21,o,397,472.2662236242264,960.6159032962408,480.10752693089455,975.7315599936112
061ea7d0-Audio_SP16,u,90,466.96584462867173,921.4454053874638,468.3807796261978,1030.4638761261613
0af9ac47-Audio_SP14,u,60,480.85714488952453,1033.821520976735,509.09655627573153,1102.1215809818716
0e6115f2-Audio_SP19,u,58,402.7037078815094,1058.312523000136,435.8793684374189,1150.0188845731393
0f786745-Audio_SP20,u,142,406.1416088638056,826.6638127404381,418.7966561776346,847.7169506982943
12c532f8-Audio_SP15,u,74,423.82554202560027,915.4762576970894,426.7013748716257,991.2627740188375
181d5ce9-Audio_SP21,u,34,385.7331206556486,909.1187976730332,395.4926859656534,995.1860995354039
