speaker_id,audio_id,n_target_vowel_rows,has_all_five_vowels,missing_vowels,n_F1,mean_F1_Hz,sd_F1_Hz,valid_F1_parameters,n_F2,mean_F2_Hz,sd_F2_Hz,valid_F2_parameters,n_F3,mean_F3_Hz,sd_F3_Hz,valid_F3_parameters
49ae7020-Audio_SP17,49ae7020-Audio_SP17,2377,True,,2377,571.5838890088943,102.96960817670836,True,2377,1697.326935437074,499.58094088361446,True,2377,2740.186590776834,304.65084033026255,True
501e6487-Audio_SP19,501e6487-Audio_SP19,5259,True,,5259,434.8709358556845,115.52224447104214,True,5259,1509.205188310456,341.046939666354,True,5259,2184.4058932993316,297.1328990511859,True
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,4227,True,,4227,622.6963835836364,155.8199395228119,True,4227,1853.4912493769766,608.830722629791,True,4227,3070.1494264389326,429.06306694920136,True
51a17262-Audio_SP18,51a17262-Audio_SP18,2738,True,,2738,542.3832302314598,148.52579464761934,True,2738,1801.3466049509223,676.539008982645,True,2738,2804.1476148946103,757.8512116531049,True
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,1916,True,,1916,412.41577615486875,80.63151455503159,True,1916,1652.3838503022293,445.3523312669871,True,1916,2632.4950036341256,378.291964330072,True
5586979c-Audio_SP18,5586979c-Audio_SP18,4244,True,,4244,521.2590669548741,108.1841266667864,True,4244,1618.8968453250964,386.7454302691736,True,4244,2476.383621843389,250.7832093762048,True
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,3848,True,,3848,585.775353473374,158.29544938669162,True,3848,1793.7559309694686,506.519003742106,True,3848,2571.074136500518,321.76050057210347,True
5a932187-audio_SP16,5a932187-audio_SP16,3930,True,,3930,584.2446652864869,172.79288533884005,True,3930,1691.672101638168,371.80813618153434,True,3930,2579.8038717442646,332.029116913741,True
63239054-Audio_SP15,63239054-Audio_SP15,2628,True,,2628,521.4906205690279,102.106524931811,True,2628,1486.7476266589174,419.94291276012945,True,2628,2677.2251422533354,402.4975931369043,True
713a2f9b-Audio_SP16,713a2f9b-Audio_SP16,3172,True,,3172,448.7717070567961,121.7153315379549,True,3172,1527.7163311029697,420.0861156407847,True,3172,2564.0637875464195,336.53900174286713,True
7a414497-Audio_SP15,7a414497-Audio_SP15,2137,True,,2137,565.4012268777317,143.65339649051984,True,2137,1591.6271440797038,421.11646493645145,True,2137,2607.4427712792663,286.4003979026573,True
7aee4437-Audio_SP12,7aee4437-Audio_SP12,1642,True,,1642,592.3404114234673,196.44531458955976,True,1642,1691.5397325841575,442.0392823290612,True,1642,2546.9394751896425,461.85296322871113,True
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,4155,True,,4155,629.8101046138787,258.4188014854612,True,4155,1841.6867206561785,462.2974404547601,True,4155,3020.542348628649,260.8577171257925,True
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,2334,True,,2334,523.4553098756293,134.05320298012117,True,2334,1572.226093511445,391.03602747712785,True,2334,2657.001286105498,214.50079110882794,True
7e277fda-Audio_SP28,7e277fda-Audio_SP28,3383,True,,3383,541.2817549839187,118.02642197452914,True,3383,1496.062274718621,574.9111804194797,True,3383,2345.9706762680785,498.11459511570405,True
85c7895f-Audio_SP16,85c7895f-Audio_SP16,5726,True,,5726,489.1705508680002,142.27381245044657,True,5726,1575.0761721523,468.4692760311017,True,5726,2704.055807750984,241.65862532492872,True
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,2133,True,,2133,495.7959049678901,144.35756676816894,True,2133,1618.167770168486,461.2743242961994,True,2133,2612.364867016972,301.53990417335126,True
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,2033,True,,2033,489.75865867036794,129.7405677814603,True,2033,1464.1138883604485,496.0259771678019,True,2033,2582.8698490878146,545.1147417657805,True
a1a056ce-Audio_SP11,a1a056ce-Audio_SP11,1617,True,,1617,536.5296954149746,113.64342490664198,True,1617,1801.2664852045234,605.8322842714227,True,1617,2918.642618907841,628.2651971497805,True
a452055c-Audio_SP11,a452055c-Audio_SP11,3839,True,,3839,486.968167006728,118.8902905473734,True,3839,1450.9288898435777,427.90260433109853,True,3839,2614.522683563978,308.07286835722243,True
adad0062-Audio_SP17,adad0062-Audio_SP17,3705,True,,3705,519.3842052028115,97.4994907835779,True,3705,1573.6763861311995,434.6534186923236,True,3705,2405.5649528595245,301.0758910892238,True
c3533b36-Audio_SP16,c3533b36-Audio_SP16,1959,True,,1959,530.7167216736781,127.43829425898737,True,1959,1478.1051810353047,445.53508011985883,True,1959,2282.156923876752,313.0970498793255,True
cafd9c21-Audio_SP27,cafd9c21-Audio_SP27,4907,True,,4907,536.3831725721399,104.85093282289033,True,4907,1486.0366544886022,372.40809091198065,True,4907,2437.0901730009264,219.2737138206115,True
d4c363bf-Audio_SP13,d4c363bf-Audio_SP13,3390,True,,3390,520.2581145823593,125.15910567840186,True,3390,1836.6091590797337,535.2716160584176,True,3390,2781.7375410350746,462.7782982875753,True
dbeec025-Audio_SP13,dbeec025-Audio_SP13,2727,True,,2727,571.2960349142887,102.34274379379247,True,2727,1468.174169490798,376.60645168269036,True,2727,2664.024233134789,360.0948657092313,True
e90f8e4d-Audio_SP22,e90f8e4d-Audio_SP22,2564,True,,2564,518.8976178766789,161.76742640535863,True,2564,1589.362648236101,575.6189858039419,True,2564,2686.2893280010917,394.98751513504703,True
