vowel,social_variable,n_speakers_or_rows,n_clusters,n_categories,chi2,dof,p_value,cramers_v,effect_label,min_expected_count,n_cells_expected_below_5,caution_sparse_table,p_fdr
u,Type_mw_earnings,43,8,2,6.344937641723356,7,0.5000987122493139,0.3841310835410272,moderate,0.3488372093023256,15,True,0.7175117805797304
u,CountryRes,43,8,8,41.97061974789915,49,0.7514125859419901,0.37341300849055054,moderate,0.023255813953488372,64,True,0.8748328843577085
e,Discipline,43,2,4,5.2335429121143395,3,0.15547328627360765,0.3488700335106597,moderate,2.9302325581395348,6,True,0.5636165772042133
u,Part,43,8,2,5.159089947089947,7,0.6405557096720546,0.34637961253346883,moderate,0.4186046511627907,14,True,0.8006946370900682
u,EmploymentStatus,43,8,5,20.219839208410633,28,0.8563189492428878,0.3428661614975468,moderate,0.046511627906976744,40,True,0.9013883676240925
a,Income_group,43,3,4,9.663230694037146,6,0.13956938504980565,0.33520612703989033,moderate,0.23255813953488372,9,True,0.5582775401992226
e,Age,43,2,4,4.7150408415114295,3,0.19389261767638022,0.33113760371375683,moderate,1.4651162790697674,3,True,0.5816778530291407
o,CountryRes,43,2,8,4.613897721250662,7,0.7069622086991758,0.3275667061925393,moderate,0.13953488372093023,14,True,0.8483546504390109
e,Income_group,43,2,4,4.451879181424636,3,0.21662292650814305,0.32176400355947127,moderate,2.441860465116279,2,True,0.618922647166123
u,English,43,8,2,3.7662811147186144,7,0.806269344540093,0.29595258556132414,moderate,0.2558139534883721,13,True,0.89585482726677
a,Type_mw_earnings,43,3,2,3.6057910906298005,2,0.1648209500799384,0.28957832577531173,moderate,0.6976744186046512,3,True,0.5636165772042133
a,CivilStatus,42,3,4,6.862222222222222,6,0.3337770735584603,0.2858200862310445,moderate,0.09523809523809523,8,True,0.7049687862447256
e,CivilStatus,42,2,4,2.9400000000000004,3,0.4009688078893464,0.2645751311064591,moderate,0.9523809523809523,5,True,0.7049687862447256
e,Part,43,2,2,2.9783549783549774,1,0.08438499855846657,0.26318067798390754,moderate,8.790697674418604,0,False,0.4349404468613154
e,EmploymentStatus,43,2,5,2.9731573621184006,4,0.5623274547395944,0.26295093547631615,moderate,0.9767441860465116,4,True,0.7497699396527925
i,Part,43,2,2,2.8779084967320268,1,0.089802593784569,0.25870466670542186,moderate,3.7674418604651163,1,True,0.4349404468613154
a,Age,43,3,4,5.6065070792585034,6,0.4686784802205136,0.25532712895827503,moderate,0.13953488372093023,9,True,0.7175117805797304
a,Education,43,3,4,5.440887096774194,6,0.48862989878916674,0.25152759099601396,moderate,0.18604651162790697,9,True,0.7175117805797304
a,EmploymentStatus,43,3,5,4.994268956849602,8,0.7581884997766807,0.24098318374336497,moderate,0.09302325581395349,12,True,0.8748328843577085
i,Education,43,2,4,2.4650054466230937,3,0.4816485918283444,0.2394278765327926,moderate,0.8372093023255814,5,True,0.7175117805797304
o,English,43,2,2,2.3969594594594588,1,0.12157133605769971,0.23610007040075873,moderate,1.5348837209302326,2,True,0.5210200116758559
i,Age,43,2,4,2.2911587259338124,3,0.5142167760821401,0.2308305895418287,moderate,0.627906976744186,5,True,0.7175117805797304
i,CivilStatus,42,2,4,2.149494949494949,3,0.5419646721922802,0.2262265483502128,moderate,0.42857142857142855,5,True,0.7390427348076547
a,English,43,3,2,2.0956195014662757,2,0.35070503998199043,0.22076081455593916,moderate,0.5116279069767442,3,True,0.7049687862447256
o,Part,43,2,2,1.8185685685685684,1,0.17748375846290693,0.2056508990797081,moderate,2.511627906976744,2,True,0.5636165772042133
o,Income_group,43,2,4,1.747058422058422,3,0.6265228025771779,0.20156702515358416,moderate,0.6976744186046512,5,True,0.8006946370900682
a,Part,43,3,2,1.7122939068100358,2,0.4247956907017185,0.19955146837461746,weak,0.8372093023255814,3,True,0.7079928178361975
o,Discipline,43,2,4,1.6863649363649365,3,0.6399694251853456,0.1980348181956628,weak,0.8372093023255814,4,True,0.8006946370900682
o,Education,43,2,4,1.577957957957958,3,0.6643979674034808,0.19156381886122623,weak,0.5581395348837209,5,True,0.8135485315144663
i,English,43,2,2,1.251931075460487,1,0.2631839726102991,0.17063023229633048,weak,2.302325581395349,1,True,0.7049687862447256
e,Type_mw_earnings,43,2,2,1.1487940630797773,1,0.2838017367733443,0.16345072958495868,weak,7.325581395348837,0,False,0.7049687862447256
o,Type_mw_earnings,43,2,2,1.018736593736594,1,0.3128188802102614,0.15392059216215578,weak,2.0930232558139537,2,True,0.7049687862447256
o,EmploymentStatus,43,2,5,0.8582894582894582,4,0.930467105165502,0.14128064255311115,weak,0.27906976744186046,7,True,0.9462377340666123
o,Age,43,2,4,0.8320064408299701,3,0.8417971837294872,0.13910063621725752,weak,0.4186046511627907,5,True,0.9013883676240925
i,Type_mw_earnings,43,2,2,0.803322440087146,1,0.3701018673463293,0.1366818100967681,weak,3.13953488372093,1,True,0.7049687862447256
o,MigrationStatus,43,2,2,0.7151767151767153,1,0.3977306060114012,0.12896517604383223,weak,0.5581395348837209,2,True,0.7049687862447256
a,MigrationStatus,43,3,2,0.21606699751861042,2,0.8975975275232747,0.07088592170368978,very weak,0.18604651162790697,4,True,0.9285491664033877
e,English,43,2,2,0.06768988587170406,1,0.7947304844013935,0.039675980042907705,very weak,5.372093023255814,0,False,0.89585482726677
i,MigrationStatus,43,2,2,0.04413859560918381,1,0.833595967398316,0.03203871045556356,very weak,0.8372093023255814,2,True,0.9013883676240925
e,MigrationStatus,43,2,2,0.0023865023865023947,1,0.9610373681754318,0.007449835937794583,very weak,1.9534883720930232,2,True,0.9610373681754318
