vowel,social_variable,cluster,category,observed,expected,std_residual,row_percent,column_percent,total_percent
a,CountryRes,2,VE,1,0.7906976744186046,0.2353796014346737,50.0,5.88235294117647,2.3255813953488373
a,CountryRes,3,AR,3,3.604651162790698,-0.31847347823497774,9.67741935483871,60.0,6.976744186046512
a,CountryRes,3,CO,8,5.767441860465116,0.9296322143802375,25.806451612903224,100.0,18.6046511627907
a,CountryRes,3,DO,1,1.441860465116279,-0.36797941819217717,3.225806451612903,50.0,2.3255813953488373
a,CountryRes,3,EC,3,2.883720930232558,0.06847387945809721,9.67741935483871,75.0,6.976744186046512
a,CountryRes,3,PE,4,3.604651162790698,0.2082326588459468,12.903225806451612,80.0,9.30232558139535
a,CountryRes,3,PY,1,0.7209302325581395,0.3286746213988661,3.225806451612903,100.0,2.3255813953488373
a,CountryRes,3,SV,1,0.7209302325581395,0.3286746213988661,3.225806451612903,100.0,2.3255813953488373
a,CountryRes,3,VE,10,12.255813953488373,-0.6443653799376455,32.25806451612903,58.82352941176471,23.25581395348837
e,CountryRes,1,AR,2,2.441860465116279,-0.2827643952330582,9.523809523809524,40.0,4.651162790697675
e,CountryRes,1,CO,5,3.9069767441860463,0.5529794462686388,23.809523809523807,62.5,11.627906976744185
e,CountryRes,1,DO,0,0.9767441860465116,-0.9883036912035245,0.0,0.0,0.0
e,CountryRes,1,EC,3,1.9534883720930232,0.748753116344687,14.285714285714285,75.0,6.976744186046512
e,CountryRes,1,PE,3,2.441860465116279,0.3571760781891262,14.285714285714285,60.0,6.976744186046512
e,CountryRes,1,PY,1,0.4883720930232558,0.732114158203694,4.761904761904762,100.0,2.3255813953488373
e,CountryRes,1,SV,1,0.4883720930232558,0.732114158203694,4.761904761904762,100.0,2.3255813953488373
e,CountryRes,1,VE,6,8.30232558139535,-0.7990369423104677,28.57142857142857,35.294117647058826,13.953488372093023
e,CountryRes,2,AR,3,2.558139534883721,0.2762631952785949,13.636363636363635,60.0,6.976744186046512
e,CountryRes,2,CO,3,4.093023255813954,-0.5402655755992509,13.636363636363635,37.5,6.976744186046512
e,CountryRes,2,DO,2,1.0232558139534884,0.9655810287305759,9.090909090909092,100.0,4.651162790697675
e,CountryRes,2,EC,1,2.046511627906977,-0.7315380998576496,4.545454545454546,25.0,2.3255813953488373
e,CountryRes,2,PE,2,2.558139534883721,-0.34896403614138316,9.090909090909092,40.0,4.651162790697675
e,CountryRes,2,PY,0,0.5116279069767442,-0.7152816976385906,0.0,0.0,0.0
e,CountryRes,2,SV,0,0.5116279069767442,-0.7152816976385906,0.0,0.0,0.0
e,CountryRes,2,VE,11,8.69767441860465,0.7806658212622124,50.0,64.70588235294117,25.581395348837212
i,CountryRes,1,AR,2,1.0465116279069768,0.9320589306096471,22.22222222222222,40.0,4.651162790697675
i,CountryRes,1,CO,0,1.6744186046511629,-1.2939932784412609,0.0,0.0,0.0
i,CountryRes,1,DO,0,0.4186046511627907,-0.6469966392206304,0.0,0.0,0.0
i,CountryRes,1,EC,0,0.8372093023255814,-0.914991421995628,0.0,0.0,0.0
i,CountryRes,1,PE,2,1.0465116279069768,0.9320589306096471,22.22222222222222,40.0,4.651162790697675
i,CountryRes,1,PY,0,0.20930232558139536,-0.457495710997814,0.0,0.0,0.0
i,CountryRes,1,SV,0,0.20930232558139536,-0.457495710997814,0.0,0.0,0.0
i,CountryRes,1,VE,5,3.558139534883721,0.7643842788371528,55.55555555555556,29.411764705882355,11.627906976744185
i,CountryRes,2,AR,3,3.953488372093023,-0.4795403636069828,8.823529411764707,60.0,6.976744186046512
i,CountryRes,2,CO,8,6.325581395348837,0.6657540493097783,23.52941176470588,100.0,18.6046511627907
i,CountryRes,2,DO,2,1.5813953488372092,0.33287702465488916,5.88235294117647,100.0,4.651162790697675
i,CountryRes,2,EC,4,3.1627906976744184,0.4707592028693474,11.76470588235294,100.0,9.30232558139535
i,CountryRes,2,PE,3,3.953488372093023,-0.4795403636069828,8.823529411764707,60.0,6.976744186046512
i,CountryRes,2,PY,1,0.7906976744186046,0.2353796014346737,2.941176470588235,100.0,2.3255813953488373
i,CountryRes,2,SV,1,0.7906976744186046,0.2353796014346737,2.941176470588235,100.0,2.3255813953488373
i,CountryRes,2,VE,12,13.44186046511628,-0.3932724669772462,35.294117647058826,70.58823529411765,27.906976744186046
o,CountryRes,1,AR,1,0.6976744186046512,0.3619499301533079,16.666666666666664,20.0,2.3255813953488373
o,CountryRes,1,CO,0,1.1162790697674418,-1.0565410875907486,0.0,0.0,0.0
o,CountryRes,1,DO,0,0.27906976744186046,-0.5282705437953743,0.0,0.0,0.0
o,CountryRes,1,EC,1,0.5581395348837209,0.5914441660464558,16.666666666666664,25.0,2.3255813953488373
o,CountryRes,1,PE,0,0.6976744186046512,-0.8352690695845568,0.0,0.0,0.0
o,CountryRes,1,PY,0,0.13953488372093023,-0.3735436838188142,0.0,0.0,0.0
o,CountryRes,1,SV,0,0.13953488372093023,-0.3735436838188142,0.0,0.0,0.0
o,CountryRes,1,VE,4,2.372093023255814,1.0569725930559881,66.66666666666666,23.52941176470588,9.30232558139535
o,CountryRes,2,AR,4,4.3023255813953485,-0.1457549323840113,10.81081081081081,80.0,9.30232558139535
o,CountryRes,2,CO,8,6.883720930232558,0.42546236911136515,21.62162162162162,100.0,18.6046511627907
o,CountryRes,2,DO,2,1.7209302325581395,0.21273118455568257,5.405405405405405,100.0,4.651162790697675
o,CountryRes,2,EC,3,3.441860465116279,-0.23817080001785254,8.108108108108109,75.0,6.976744186046512
o,CountryRes,2,PE,5,4.3023255813953485,0.3363575362707959,13.513513513513514,100.0,11.627906976744185
o,CountryRes,2,PY,1,0.8604651162790697,0.1504236631691701,2.7027027027027026,100.0,2.3255813953488373
o,CountryRes,2,SV,1,0.8604651162790697,0.1504236631691701,2.7027027027027026,100.0,2.3255813953488373
o,CountryRes,2,VE,13,14.627906976744185,-0.4256361336148771,35.13513513513514,76.47058823529412,30.23255813953488
u,CountryRes,1,AR,1,0.3488372093023256,1.102498923341421,33.33333333333333,20.0,2.3255813953488373
u,CountryRes,1,CO,0,0.5581395348837209,-0.7470873676376284,0.0,0.0,0.0
u,CountryRes,1,DO,0,0.13953488372093023,-0.3735436838188142,0.0,0.0,0.0
u,CountryRes,1,EC,0,0.27906976744186046,-0.5282705437953743,0.0,0.0,0.0
u,CountryRes,1,PE,1,0.3488372093023256,1.102498923341421,33.33333333333333,20.0,2.3255813953488373
u,CountryRes,1,PY,0,0.06976744186046512,-0.26413527189768715,0.0,0.0,0.0
u,CountryRes,1,SV,0,0.06976744186046512,-0.26413527189768715,0.0,0.0,0.0
u,CountryRes,1,VE,1,1.186046511627907,-0.1708325687035929,33.33333333333333,5.88235294117647,2.3255813953488373
u,CountryRes,2,AR,1,0.5813953488372093,0.5489948531973767,20.0,20.0,2.3255813953488373
u,CountryRes,2,CO,1,0.9302325581395349,0.07233642332556184,20.0,12.5,2.3255813953488373
u,CountryRes,2,DO,0,0.23255813953488372,-0.48224282217041214,0.0,0.0,0.0
u,CountryRes,2,EC,2,0.46511627906976744,2.2505813202525626,40.0,50.0,4.651162790697675
u,CountryRes,2,PE,1,0.5813953488372093,0.5489948531973767,20.0,20.0,2.3255813953488373
u,CountryRes,2,PY,0,0.11627906976744186,-0.34099716973523675,0.0,0.0,0.0
u,CountryRes,2,SV,0,0.11627906976744186,-0.34099716973523675,0.0,0.0,0.0
u,CountryRes,2,VE,0,1.9767441860465116,-1.405967348855055,0.0,0.0,0.0
u,CountryRes,3,AR,0,0.5813953488372093,-0.7624928516630233,0.0,0.0,0.0
u,CountryRes,3,CO,0,0.9302325581395349,-0.9644856443408243,0.0,0.0,0.0
u,CountryRes,3,DO,0,0.23255813953488372,-0.48224282217041214,0.0,0.0,0.0
u,CountryRes,3,EC,0,0.46511627906976744,-0.6819943394704735,0.0,0.0,0.0
u,CountryRes,3,PE,0,0.5813953488372093,-0.7624928516630233,0.0,0.0,0.0
u,CountryRes,3,PY,0,0.11627906976744186,-0.34099716973523675,0.0,0.0,0.0
u,CountryRes,3,SV,0,0.11627906976744186,-0.34099716973523675,0.0,0.0,0.0
u,CountryRes,3,VE,5,1.9767441860465116,2.1503030041312607,100.0,29.411764705882355,11.627906976744185
u,CountryRes,4,AR,0,0.11627906976744186,-0.34099716973523675,0.0,0.0,0.0
u,CountryRes,4,CO,0,0.18604651162790697,-0.43133109281375365,0.0,0.0,0.0
u,CountryRes,4,DO,0,0.046511627906976744,-0.21566554640687682,0.0,0.0,0.0
u,CountryRes,4,EC,0,0.09302325581395349,-0.30499714066520933,0.0,0.0,0.0
u,CountryRes,4,PE,0,0.11627906976744186,-0.34099716973523675,0.0,0.0,0.0
u,CountryRes,4,PY,0,0.023255813953488372,-0.15249857033260467,0.0,0.0,0.0
u,CountryRes,4,SV,0,0.023255813953488372,-0.15249857033260467,0.0,0.0,0.0
u,CountryRes,4,VE,1,0.3953488372093023,0.9616447378919019,100.0,5.88235294117647,2.3255813953488373
u,CountryRes,5,AR,0,0.3488372093023256,-0.5906244232186184,0.0,0.0,0.0
u,CountryRes,5,CO,1,0.5581395348837209,0.5914441660464558,33.33333333333333,12.5,2.3255813953488373
u,CountryRes,5,DO,0,0.13953488372093023,-0.3735436838188142,0.0,0.0,0.0
u,CountryRes,5,EC,1,0.27906976744186046,1.3646989048047167,33.33333333333333,25.0,2.3255813953488373
u,CountryRes,5,PE,0,0.3488372093023256,-0.5906244232186184,0.0,0.0,0.0
u,CountryRes,5,PY,0,0.06976744186046512,-0.26413527189768715,0.0,0.0,0.0
u,CountryRes,5,SV,0,0.06976744186046512,-0.26413527189768715,0.0,0.0,0.0
u,CountryRes,5,VE,1,1.186046511627907,-0.1708325687035929,33.33333333333333,5.88235294117647,2.3255813953488373
u,CountryRes,6,AR,0,0.813953488372093,-0.9021937088963173,0.0,0.0,0.0
u,CountryRes,6,CO,2,1.302325581395349,0.6113543594544167,28.57142857142857,25.0,4.651162790697675
u,CountryRes,6,DO,1,0.32558139534883723,1.1819517616118724,14.285714285714285,50.0,2.3255813953488373
u,CountryRes,6,EC,0,0.6511627906976745,-0.806946584785929,0.0,0.0,0.0
u,CountryRes,6,PE,2,0.813953488372093,1.3146251186774909,28.57142857142857,40.0,4.651162790697675
u,CountryRes,6,PY,1,0.16279069767441862,2.0750055037352455,14.285714285714285,100.0,2.3255813953488373
u,CountryRes,6,SV,0,0.16279069767441862,-0.4034732923929645,0.0,0.0,0.0
u,CountryRes,6,VE,1,2.7674418604651163,-1.0624435976936575,14.285714285714285,5.88235294117647,2.3255813953488373
u,CountryRes,7,AR,2,1.3953488372093024,0.5118745001228026,16.666666666666664,40.0,4.651162790697675
u,CountryRes,7,CO,3,2.2325581395348837,0.5136225652508696,25.0,37.5,6.976744186046512
u,CountryRes,7,DO,0,0.5581395348837209,-0.7470873676376284,0.0,0.0,0.0
u,CountryRes,7,EC,0,1.1162790697674418,-1.0565410875907486,0.0,0.0,0.0
u,CountryRes,7,PE,1,1.3953488372093024,-0.3346871731572171,8.333333333333332,20.0,2.3255813953488373
u,CountryRes,7,PY,0,0.27906976744186046,-0.5282705437953743,0.0,0.0,0.0
u,CountryRes,7,SV,1,0.27906976744186046,1.3646989048047167,8.333333333333332,100.0,2.3255813953488373
u,CountryRes,7,VE,5,4.744186046511628,0.11744739098371985,41.66666666666667,29.411764705882355,11.627906976744185
