audio,vowel_norm,f1_median,f2_median,chosen_k,cluster
9a0c18cb-Audio_SP14,o,487.5286412498596,968.6708890490952,2,2
a1a056ce-Audio_SP11,o,510.5079911853401,1104.809299783717,2,2
a452055c-Audio_SP11,o,437.6527304457022,995.370611612758,2,2
adad0062-Audio_SP17,o,505.16989770063896,1028.9719074410073,2,2
c3533b36-Audio_SP16,o,496.1663508031624,1018.425424562808,2,2
cafd9c21-Audio_SP27,o,519.7949528657623,1054.3292024346126,2,2
d4c363bf-Audio_SP13,o,495.0803713459371,1125.3837612144334,2,2
dbeec025-Audio_SP13,o,572.2418618768222,1096.950758472241,2,2
e90f8e4d-Audio_SP22,o,485.9719788216072,1007.2312930569356,2,2
f061152e-Audio_SP12,o,586.0877437534923,1246.511283743924,2,1
fcd45f4d-Audio_SP21,o,478.5544978352185,982.2333116962157,2,2
061ea7d0-Audio_SP16,u,463.396465367674,919.3433210048148,8,7
0af9ac47-Audio_SP14,u,484.65174249209815,1057.714179375334,8,3
0e6115f2-Audio_SP19,u,403.1577607606431,982.3435833373592,8,6
0f786745-Audio_SP20,u,392.6738190139528,819.2969870574867,8,8
12c532f8-Audio_SP15,u,424.9503410050058,906.9393148913596,8,7
181d5ce9-Audio_SP21,u,362.0744260890253,928.3703287687084,8,6
1c403477-Audio_SP13,u,409.0953939649327,951.4957379444772,8,7
1d46eb6e-Audio_SP18,u,429.3830480766045,891.974585002455,8,7
2988c6fc-Audio_SP13,u,425.9377099391624,897.3243534150889,8,7
2e25304d-Audio_SP12,u,498.54314881731,937.4160717948253,8,1
30a90cb2-Audio_SP21,u,418.6653028479277,1050.114584733094,8,2
3361ee02-Audio_SP10,u,394.5243415210237,972.2735361093628,8,6
34ad326e-Audio_SP7,u,357.0016975366337,964.5957255395532,8,6
375a28cd-Audio_SP16,u,412.670403975195,845.450760096715,8,8
42d56bbf-Audio_SP23,u,339.04996468135096,792.9646724867293,8,8
49ae7020-Audio_SP17,u,502.0233756931644,954.9290121085972,8,1
501e6487-Audio_SP19,u,356.59563758039883,1071.3555951748183,8,5
514fc6b6-Audio_SP19,u,498.0778283096007,873.3472533816238,8,1
51a17262-Audio_SP18,u,441.9585131673136,916.4845745850536,8,7
5278b5b9-Audio_SP15,u,356.2899651987251,1138.7376982365845,8,5
5586979c-Audio_SP18,u,442.3057582097944,1018.2689828587676,8,2
5819ce7a-Audio_SP11,u,460.7589559721139,973.7771957354092,8,3
