vowel,audio,CountryRes,Sex,Income_group,n_tokens
i,7c3c98d2-Audio_SP13,EC,F,2,909
i,7dec1dd7-Audio_SP13,AR,M,4,414
i,7e277fda-Audio_SP28,VE,M,3,751
i,85c7895f-Audio_SP16,CO,M,2,1278
i,919b9bc1-Audio_SP14,PE,M,2,454
i,9a0c18cb-Audio_SP14,VE,M,3,417
i,a1a056ce-Audio_SP11,PE,F,4,354
i,a452055c-Audio_SP11,EC,M,3,711
i,adad0062-Audio_SP17,EC,M,3,799
i,c3533b36-Audio_SP16,VE,M,3,313
i,cafd9c21-Audio_SP27,CO,M,2,965
i,d4c363bf-Audio_SP13,AR,F,4,817
i,dbeec025-Audio_SP13,VE,M,4,459
i,e90f8e4d-Audio_SP22,CO,M,3,486
i,f061152e-Audio_SP12,VE,F,4,581
i,fcd45f4d-Audio_SP21,VE,M,2,435
o,061ea7d0-Audio_SP16,CO,M,2,714
o,0af9ac47-Audio_SP14,VE,M,3,862
o,0e6115f2-Audio_SP19,PE,M,2,918
o,0f786745-Audio_SP20,DO,M,1,843
o,12c532f8-Audio_SP15,AR,M,4,802
o,181d5ce9-Audio_SP21,VE,M,2,474
o,1c403477-Audio_SP13,SV,M,1,935
o,1d46eb6e-Audio_SP18,VE,M,4,1190
o,2988c6fc-Audio_SP13,VE,M,2,524
o,2e25304d-Audio_SP12,AR,F,3,264
o,30a90cb2-Audio_SP21,EC,M,3,777
o,3361ee02-Audio_SP10,PY,M,1,504
o,34ad326e-Audio_SP7,CO,M,2,322
o,375a28cd-Audio_SP16,AR,M,2,996
o,42d56bbf-Audio_SP23,VE,M,3,2443
o,49ae7020-Audio_SP17,PE,M,4,565
o,501e6487-Audio_SP19,VE,M,1,1210
o,514fc6b6-Audio_SP19,VE,F,4,831
o,51a17262-Audio_SP18,VE,F,4,637
o,5278b5b9-Audio_SP15,CO,M,3,490
o,5586979c-Audio_SP18,CO,M,4,1061
o,5819ce7a-Audio_SP11,VE,F,3,819
o,5a932187-audio_SP16,VE,F,3,898
o,63239054-Audio_SP15,CO,M,1,821
o,713a2f9b-Audio_SP16,PE,M,2,873
o,7a414497-Audio_SP15,DO,F,3,441
