social_variable,vowel,social_group,n_tokens,n_audios,f1_20_mean,f1_20_median,f1_20_std,f1_20_iqr,f2_20_mean,f2_20_median,f2_20_std,f2_20_iqr,f3_20_mean,f3_20_median,f3_20_std,f3_20_iqr,f1_80_mean,f1_80_median,f1_80_std,f1_80_iqr,f2_80_mean,f2_80_median,f2_80_std,f2_80_iqr,f3_80_mean,f3_80_median,f3_80_std,f3_80_iqr,delta_f1_mean,delta_f1_median,delta_f1_std,delta_f1_iqr,delta_f2_mean,delta_f2_median,delta_f2_std,delta_f2_iqr,delta_f3_mean,delta_f3_median,delta_f3_std,delta_f3_iqr,delta_magnitude_mean,delta_magnitude_median,delta_magnitude_iqr
CountryRes,e,PE,3420,5,470.53132423651033,458.79216902033465,81.11473619808264,96.17296194027102,1911.0224862462146,1898.7100969992907,228.91199765997004,258.62045603493107,2721.057899534552,2679.844121899054,304.1856653700613,253.17077589984046,459.533464649391,453.72342246910966,81.88084763037918,102.34042888979792,1935.5646756427082,1917.3442225101476,247.25664205254196,289.5038941184048,2714.23427536577,2676.1524749178757,280.92557283107766,252.50328492514473,-10.997859587119342,-8.553320322514594,70.63245587095601,68.18607131553777,24.542189396493498,20.415192431287323,183.21344683033576,182.52485611381377,-6.823624168781901,-4.792572809092235,197.8110242146141,168.1287576419354,221.97358048728978,175.12360519703992,178.5670834156989
CountryRes,e,PY,589,1,440.21081238463717,433.4044966983809,73.96203781221233,70.10126005072522,1629.5941912292776,1630.8727994090684,136.494529299822,144.70879011965508,2472.0273629593953,2514.272123514673,279.5619801658644,360.33930740580945,435.2752166560507,437.39021355802487,79.68506859925263,90.21403392667224,1630.7666547212846,1638.0085723103955,154.53056927023678,164.51666409706377,2452.140608647591,2464.282075951764,287.4336333334697,347.58097127135943,-4.935595728586481,-0.18106829720079531,91.66206795101634,91.97182045206091,1.1724634920068473,-0.601479711635875,129.73746344928787,116.0875001773893,-19.88675431180507,-22.721373959409902,265.16944839723374,301.8321679847563,251.35049420705496,204.8766659653587,195.81879314955992
CountryRes,e,SV,924,1,463.4705059240723,455.49258455644855,71.02734417936664,65.99514716236598,1846.5194137065664,1850.206992930078,187.3271569233839,225.25421200414667,2504.10193231328,2451.743452470935,267.8475722832655,418.6170543178537,443.8279918950024,436.9122802101444,67.09355126042816,81.50953871110636,1884.3287960792231,1882.438731871303,196.67332824733663,270.82451395201815,2510.894331419249,2475.2927653838306,262.4975167897762,380.5901996098296,-19.642514029069876,-15.507487088693779,83.70715242100974,80.24008483186468,37.8093823726565,27.26643216058028,154.36744362142738,172.49285552684597,6.7923991059683155,0.61295823199589,217.19996263971964,218.8774835423833,235.07619732767554,193.23148026866107,183.56752390657067
CountryRes,e,VE,16187,17,493.3781406235592,486.6647171778268,105.7016689593809,129.0489931277325,1926.5199776661025,1907.3594763094743,266.57725272687867,324.28469006486284,2771.912420482644,2678.6031276060244,463.49584146630906,524.8599943885665,479.4422675169532,475.161158970077,112.48254982540425,144.24203359202698,1961.9604883640984,1943.015864076545,270.7470540520402,338.13521659025673,2774.2416281560395,2680.077704093052,462.36154936637064,526.3394607023206,-13.935873106606032,-11.147034554852212,91.19599154884929,84.89858415871399,35.44051069799586,29.45543363802767,185.9473600251414,185.85883014917874,2.3292076733958056,3.4922124315430665,206.27714748048945,193.42922182305279,239.3338785688609,196.8490845788421,185.1998857404481
CountryRes,i,AR,2621,5,416.9285597044094,388.4790384838891,148.02683839628432,113.00938189998811,2185.5167945435755,2175.0246738927585,317.5584772524657,407.71569914422867,2956.428314716604,2800.812851109377,589.0698958774002,739.341911917521,386.2613499484187,379.9500641067133,85.4084462322252,87.60993243337532,2240.3643084073487,2213.6925584416667,290.34994650425443,398.32948105067476,2926.54170943156,2779.862236822194,553.6007880152192,644.6236017979231,-30.667209755990683,-3.9013184714027602,154.6467179470621,101.49313233610945,54.847513863772996,22.77279947791203,230.04902059803183,215.7233382043405,-29.88660528504426,-4.919320687591608,289.3629111397331,258.4393490963539,316.0345242798071,238.77237159538157,264.318370191913
CountryRes,i,CO,5346,8,401.1003939681354,377.16499505885486,128.7082235525574,107.02345874844383,2046.1085830253037,2073.9545122343798,282.5417989899187,321.9028069236622,2750.5438875015216,2701.6595819494933,355.40668936438993,354.203255516612,369.87604991628183,366.15081036863967,59.85810442468145,76.7198719279288,2121.465108161127,2126.0053758550266,235.31753656139483,274.3230682267274,2746.7855522162226,2706.2097356489303,336.5315774131568,356.15356768199126,-31.22434405185353,-10.203887489397147,127.01303696221233,87.18818659040373,75.35652513582325,44.106032491009046,242.7050107702677,222.04257894917896,-3.7583352852986778,0.9324753705489002,260.93344760037814,247.88327115080165,303.5322163585101,230.7517962766609,264.39311334676233
CountryRes,i,DO,1194,2,430.11064145425263,388.71376116625305,146.26415780004658,126.83001858094434,2106.7696985652874,2132.7596371047275,281.34241297262946,299.46343706439075,2784.4723621938538,2706.8322387881344,387.69137110789154,368.5350351082925,376.42637244792957,370.6820251275202,63.27702358937062,74.97479237185684,2201.477548932298,2195.590800651091,212.38143137744706,236.13522404918876,2784.7840426449197,2722.484326691194,353.3904186021548,342.0481075159378,-53.68426900632306,-19.28982292831722,153.0102468265836,133.60109215189226,94.70785036700997,67.37907880909574,257.7972752781368,252.6129968742947,0.3116804510659105,10.024289843484212,308.6129659819755,291.6673893783949,357.97678174904274,274.5625074730126,318.30524202424533
CountryRes,i,EC,3275,4,420.5633606062177,385.4344944613529,150.76585136379614,119.19689325584136,2140.1495246803306,2115.141363347154,326.08823921262996,414.0390895715243,2906.382714675424,2865.963335797615,376.08560579096996,510.412897654875,391.4949398636886,380.6905085898042,97.03204091369523,81.90369657086131,2228.8655471114143,2187.984503336608,290.5088223671335,412.7033123771853,2900.878265788032,2855.45705782554,363.5451589170758,513.1900961638421,-29.068420742529103,-7.695870952880057,168.38693553784267,117.62096054607534,88.71602243108309,52.1134211157505,267.39764106128877,277.2996694886406,-5.50444888739144,-1.0815306282993333,265.9633826416912,278.3682334097605,347.5003109999864,285.0502175297402,291.04667336211503
CountryRes,i,PE,2886,5,410.6546010512919,381.74067381027135,137.2985652054165,128.1928354411354,2174.5917762127974,2191.2112134178888,305.94248459267874,386.7093590970421,2853.7283161947444,2805.4036767239213,321.08676017595127,345.2006114047872,386.28451645483676,378.86732074903216,84.27942455725557,103.15175884015406,2252.980527454442,2263.993175593505,267.70368910183527,346.96086407048324,2855.0156390107495,2811.2618361182504,306.53169236897276,341.0089335707594,-24.370084596455083,-2.4684534380858594,138.2572613033921,102.38371703240527,78.38875124164419,51.07408209563778,275.3029403913803,275.70119613422634,1.2873228160052044,0.6800429740785603,260.266743303381,249.99911871012898,327.3148078379525,253.92210801454928,284.8153894204583
CountryRes,i,PY,518,1,368.6570857115217,335.6898326885888,131.22827964234207,84.81280983663925,1793.0783175108868,1791.6627812423526,185.50314443536618,132.47948778464843,2712.7963044911344,2738.8320151488815,220.18925997211483,211.9388828087017,358.24108310551793,344.76466990448125,91.09331632554814,79.57686498991188,1833.3118777857349,1817.2118586453144,197.01799123512976,114.91635606594468,2734.620406985987,2758.612709922409,197.8796813650621,168.21784683053102,-10.416002606003849,6.978259104054473,129.4852284784035,116.0737659615232,40.233560274848074,28.76582125743164,182.49288918733123,128.54071003641195,21.824102494852582,15.477357476430143,209.74897231711887,181.59298794984318,238.81555596813675,181.9046052791618,199.6181785045489
CountryRes,i,SV,737,1,403.12743233976,385.4652118210512,124.10003949087208,92.99655909923302,2075.418088309218,2088.3709080977656,248.90959479300452,243.98301811671467,2782.7117230854824,2771.050295710486,371.0070514659206,521.3720699789828,384.91610469969066,385.136092612364,66.61513317031155,72.56903896105558,2156.746457273768,2143.504186720146,206.06054118324553,218.79316482902664,2806.6808642750684,2813.3073022378294,336.83711507931645,518.168552535094,-18.211327640069317,-0.932918288373628,129.1113498062462,103.02473537971946,81.32836896455008,51.11812631177736,228.03284642491298,217.08209463709227,23.96914118958594,6.163672113083521,287.48516851552085,321.84143948064184,325.47911788658064,258.16878915691024,278.3294389948703
CountryRes,i,VE,11601,17,412.49330335271725,388.8625982279253,141.35814589874218,147.35518458243365,2153.460552654233,2156.02167524801,347.68879796067347,420.19674846356315,2946.8342343408885,2883.329859751745,486.84331378492834,653.0052397628078,386.1502981844641,378.4852102852157,96.0615923967605,114.12089806203511,2226.1180612003777,2217.483163665267,322.21098569139184,387.5967844478671,2946.782541132135,2876.681804226137,464.60228569104754,601.8656381342944,-26.34300516825321,-8.584898227221743,134.36441365729854,102.34687883657219,72.65750854614555,47.26597326007777,243.07696930144658,248.30971933839942,-0.05169320875369038,11.674565560108476,264.8421100522963,270.3319422289269,318.14337917909745,255.20574920648656,258.43213656361456
CountryRes,o,AR,3267,5,497.7023494171757,486.6102003594183,78.71516564595505,68.34583807761396,1149.6408723930558,1114.7112656267834,272.4622025825153,372.2767091914984,2554.079745432143,2514.3097106325663,383.10520993628194,407.2384579871914,497.2382705362038,487.4163733435919,88.7410998506534,84.2826883793299,1101.2140343422489,1080.5051306686594,210.80128124997336,252.3579819723766,2581.3122649354086,2546.0420180002056,392.0289847212448,439.7300058441556,-0.46407888097194666,-2.4161110791814053,80.0261730712714,72.02678057975177,-48.42683805080694,-34.36678376342161,206.68981304188782,224.00021221872197,27.23251950326499,10.404816790153745,273.76837821702503,219.62259450164584,285.6411188759593,224.71156342239684,242.46380362158447
