,061ea7d0-Audio_SP16,0af9ac47-Audio_SP14,0e6115f2-Audio_SP19,0f786745-Audio_SP20,12c532f8-Audio_SP15,181d5ce9-Audio_SP21,1c403477-Audio_SP13,1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,2e25304d-Audio_SP12,30a90cb2-Audio_SP21,3361ee02-Audio_SP10,34ad326e-Audio_SP7,375a28cd-Audio_SP16,42d56bbf-Audio_SP23,49ae7020-Audio_SP17,501e6487-Audio_SP19,514fc6b6-Audio_SP19,51a17262-Audio_SP18,5278b5b9-Audio_SP15,5586979c-Audio_SP18,5819ce7a-Audio_SP11,5a932187-audio_SP16,63239054-Audio_SP15,713a2f9b-Audio_SP16,7a414497-Audio_SP15,7aee4437-Audio_SP12,7c3c98d2-Audio_SP13,7dec1dd7-Audio_SP13,7e277fda-Audio_SP28,85c7895f-Audio_SP16,919b9bc1-Audio_SP14,9a0c18cb-Audio_SP14,a1a056ce-Audio_SP11,a452055c-Audio_SP11,adad0062-Audio_SP17,c3533b36-Audio_SP16,cafd9c21-Audio_SP27,d4c363bf-Audio_SP13,dbeec025-Audio_SP13,e90f8e4d-Audio_SP22,f061152e-Audio_SP12,fcd45f4d-Audio_SP21
30a90cb2-Audio_SP21,0.4534437358379364,0.20534272491931915,0.5799469947814941,0.3967706859111786,0.5065320134162903,0.5998650789260864,0.5551199316978455,0.5540321469306946,0.4271332621574402,0.1968579739332199,1.0,0.4975273013114929,0.36253198981285095,0.3822771906852722,0.34265753626823425,0.32723578810691833,0.29461708664894104,0.24848979711532593,0.5111331343650818,0.3897501230239868,0.4836019277572632,0.40431004762649536,0.36095473170280457,0.5648554563522339,0.5467738509178162,0.4809684455394745,0.46612828969955444,0.3075055181980133,0.5720673203468323,0.3273385167121887,0.4554879665374756,0.6216464042663574,0.3757100999355316,0.357692688703537,0.4261508584022522,0.27634143829345703,0.28082698583602905,0.4466261863708496,0.5587322115898132,0.3326900899410248,0.5403696894645691,0.28080233931541443,0.3610536456108093
3361ee02-Audio_SP10,0.4795188307762146,0.26513707637786865,0.4702703058719635,0.477618932723999,0.6082552671432495,0.45936286449432373,0.6638787984848022,0.41383883357048035,0.2950262725353241,0.16181938350200653,0.4975273013114929,1.0,0.356189101934433,0.5643860101699829,0.41157597303390503,0.24806110560894012,0.5177510380744934,0.1525096446275711,0.3491654396057129,0.3886386454105377,0.6435479521751404,0.5164772868156433,0.41399481892585754,0.4554326832294464,0.5691640377044678,0.4126710295677185,0.4654533863067627,0.21286818385124207,0.3745225667953491,0.5489967465400696,0.4113006591796875,0.49608126282691956,0.6102784872055054,0.2653484642505646,0.40128853917121887,0.5207672715187073,0.5926092863082886,0.5567073225975037,0.5250024795532227,0.3281761109828949,0.426927775144577,0.2634873390197754,0.5497606992721558
34ad326e-Audio_SP7,0.3906541168689728,0.2831871509552002,0.2933923602104187,0.3706168234348297,0.4901376962661743,0.31846341490745544,0.41294002532958984,0.40355318784713745,0.31910082697868347,0.23473061621189117,0.36253198981285095,0.356189101934433,1.0,0.35151201486587524,0.3415643870830536,0.3321836292743683,0.25133106112480164,0.4343772232532501,0.42008331418037415,0.27298852801322937,0.3794940114021301,0.3951886296272278,0.31799760460853577,0.4446033835411072,0.3613538444042206,0.40283358097076416,0.33809858560562134,0.2624104917049408,0.3338778614997864,0.3688969016075134,0.32134243845939636,0.36917081475257874,0.4219397306442261,0.45861494541168213,0.3350944221019745,0.2628890573978424,0.33540549874305725,0.3848644495010376,0.31413334608078003,0.42923906445503235,0.4300118684768677,0.36880677938461304,0.42653653025627136
375a28cd-Audio_SP16,0.46618494391441345,0.22244130074977875,0.47547271847724915,0.5708909034729004,0.6307823657989502,0.4409748315811157,0.6644741296768188,0.41765812039375305,0.33478811383247375,0.11020712554454803,0.3822771906852722,0.5643860101699829,0.35151201486587524,1.0,0.47296082973480225,0.21569408476352692,0.37123429775238037,0.15328790247440338,0.22879938781261444,0.3700895607471466,0.561822772026062,0.4118047058582306,0.19606193900108337,0.46195337176322937,0.5153304934501648,0.3847065269947052,0.29705527424812317,0.14158928394317627,0.31652677059173584,0.4764767289161682,0.47276920080184937,0.4352478086948395,0.6031877994537354,0.23386693000793457,0.5176611542701721,0.4380841553211212,0.4896467924118042,0.5693241357803345,0.5195935964584351,0.28550440073013306,0.47542423009872437,0.1437753587961197,0.5836867094039917
42d56bbf-Audio_SP23,0.22902047634124756,0.124399334192276,0.38957199454307556,0.31766340136528015,0.39418965578079224,0.34181806445121765,0.45668140053749084,0.24993930757045746,0.2200656682252884,0.07362613081932068,0.34265753626823425,0.41157597303390503,0.3415643870830536,0.47296082973480225,1.0,0.10553871840238571,0.4906117618083954,0.13224667310714722,0.2523476183414459,0.5108826756477356,0.32197731733322144,0.22690223157405853,0.21439692378044128,0.2690819799900055,0.5296176075935364,0.20151452720165253,0.20099060237407684,0.17179548740386963,0.21084843575954437,0.28484493494033813,0.4022521674633026,0.3037583827972412,0.4522102177143097,0.22285647690296173,0.48640134930610657,0.24150365591049194,0.2999861240386963,0.2702994644641876,0.32016223669052124,0.14753983914852142,0.3456451892852783,0.1501898318529129,0.4044424295425415
49ae7020-Audio_SP17,0.5143437385559082,0.2983677089214325,0.26221948862075806,0.3935287892818451,0.33294981718063354,0.40124422311782837,0.31086206436157227,0.5643584728240967,0.4679555892944336,0.47946590185165405,0.32723578810691833,0.24806110560894012,0.3321836292743683,0.21569408476352692,0.10553871840238571,1.0,0.07688219845294952,0.3376994729042053,0.36494091153144836,0.08866392821073532,0.3340602219104767,0.44590291380882263,0.3880739212036133,0.5149410367012024,0.23792196810245514,0.6254807114601135,0.35709092020988464,0.342512845993042,0.5409560799598694,0.28389042615890503,0.31539076566696167,0.41943109035491943,0.26079675555229187,0.24649441242218018,0.2265593409538269,0.15690885484218597,0.1959342062473297,0.430539608001709,0.3381273150444031,0.6917672753334045,0.4160408675670624,0.3450508415699005,0.20680628716945648
501e6487-Audio_SP19,0.20579233765602112,0.12812890112400055,0.2733476161956787,0.23907452821731567,0.34127673506736755,0.22932115197181702,0.39220917224884033,0.171202152967453,0.11617333441972733,0.05978937819600105,0.29461708664894104,0.5177510380744934,0.25133106112480164,0.37123429775238037,0.4906117618083954,0.07688219845294952,1.0,0.0842028334736824,0.221164733171463,0.40601328015327454,0.3461841642856598,0.23853228986263275,0.2608011066913605,0.21450455486774445,0.4223487973213196,0.17060957849025726,0.26809167861938477,0.11601746827363968,0.16323906183242798,0.2770470678806305,0.23418693244457245,0.2674269378185272,0.39427053928375244,0.2003888636827469,0.2793624699115753,0.31619906425476074,0.3461911678314209,0.25999224185943604,0.2707739770412445,0.12382198125123978,0.22483114898204803,0.17832030355930328,0.3292182385921478
514fc6b6-Audio_SP19,0.21135856211185455,0.08319345861673355,0.17705267667770386,0.19923846423625946,0.2641363739967346,0.217233344912529,0.19233177602291107,0.31862589716911316,0.30177387595176697,0.40753355622291565,0.24848979711532593,0.1525096446275711,0.4343772232532501,0.15328790247440338,0.13224667310714722,0.3376994729042053,0.0842028334736824,1.0,0.4058187007904053,0.10956349223852158,0.17315761744976044,0.2309587150812149,0.2713095545768738,0.3480337858200073,0.17933018505573273,0.28401684761047363,0.24825306236743927,0.5111377835273743,0.3165755867958069,0.18484419584274292,0.19645161926746368,0.25393959879875183,0.16207173466682434,0.543420672416687,0.18760596215724945,0.08191076666116714,0.11466015130281448,0.18150031566619873,0.2305908203125,0.36873286962509155,0.3221970498561859,0.39712852239608765,0.25419893860816956
51a17262-Audio_SP18,0.3189120590686798,0.17612437903881073,0.3044328987598419,0.34313157200813293,0.35300925374031067,0.32284775376319885,0.35163742303848267,0.3978688418865204,0.35707002878189087,0.31702300906181335,0.5111331343650818,0.3491654396057129,0.42008331418037415,0.22879938781261444,0.2523476183414459,0.36494091153144836,0.221164733171463,0.4058187007904053,1.0,0.17561741173267365,0.3237352967262268,0.3988317549228668,0.39674779772758484,0.387711763381958,0.3133801519870758,0.3811899721622467,0.4302506446838379,0.36805930733680725,0.42446619272232056,0.32215389609336853,0.2846699357032776,0.3969011902809143,0.3203012943267822,0.4557173252105713,0.2565634548664093,0.22489559650421143,0.2782803773880005,0.3243986964225769,0.3447330594062805,0.41023561358451843,0.405301570892334,0.4624045789241791,0.3000626862049103
5278b5b9-Audio_SP15,0.21054194867610931,0.0875433087348938,0.40969377756118774,0.22954881191253662,0.4024808704853058,0.4160059094429016,0.42773139476776123,0.2844325006008148,0.26388052105903625,0.0707022100687027,0.3897501230239868,0.3886386454105377,0.27298852801322937,0.3700895607471466,0.5108826756477356,0.08866392821073532,0.40601328015327454,0.10956349223852158,0.17561741173267365,1.0,0.2990523874759674,0.17262598872184753,0.18876072764396667,0.2836538851261139,0.5941441655158997,0.19402867555618286,0.1982993334531784,0.2197059988975525,0.2782090902328491,0.2004057914018631,0.432481974363327,0.34192734956741333,0.29473960399627686,0.22496622800827026,0.4968695044517517,0.1718556135892868,0.18981070816516876,0.2253241240978241,0.3528544008731842,0.11176814138889313,0.3383101224899292,0.10733199119567871,0.3302239179611206
5586979c-Audio_SP18,0.6608629822731018,0.411080926656723,0.44096505641937256,0.5269976258277893,0.6915750503540039,0.4842650294303894,0.6702325940132141,0.48409712314605713,0.2901182770729065,0.17926517128944397,0.4836019277572632,0.6435479521751404,0.3794940114021301,0.561822772026062,0.32197731733322144,0.3340602219104767,0.3461841642856598,0.17315761744976044,0.3237352967262268,0.2990523874759674,1.0,0.6106756925582886,0.4176945686340332,0.5275700688362122,0.47408750653266907,0.5295383334159851,0.47381147742271423,0.19088776409626007,0.38945916295051575,0.5251982808113098,0.36325252056121826,0.4835625886917114,0.5713736414909363,0.2608657777309418,0.36175888776779175,0.5672561526298523,0.5463801622390747,0.7237792015075684,0.5970160365104675,0.413226842880249,0.4397570788860321,0.28679358959198,0.4866641163825989
5819ce7a-Audio_SP11,0.6524936556816101,0.47299715876579285,0.339069664478302,0.5568615794181824,0.5487135052680969,0.44102802872657776,0.5163410305976868,0.5032309889793396,0.35842329263687134,0.28935301303863525,0.40431004762649536,0.5164772868156433,0.3951886296272278,0.4118047058582306,0.22690223157405853,0.44590291380882263,0.23853228986263275,0.2309587150812149,0.3988317549228668,0.17262598872184753,0.6106756925582886,1.0,0.5214785933494568,0.5175471901893616,0.370013028383255,0.5703161954879761,0.5275745391845703,0.22787778079509735,0.393920361995697,0.5719440579414368,0.3507196605205536,0.479018896818161,0.5176449418067932,0.2908981144428253,0.30237454175949097,0.4592152535915375,0.5171394944190979,0.6698223352432251,0.49205154180526733,0.5493011474609375,0.4395564794540405,0.4206946790218353,0.428083598613739
5a932187-audio_SP16,0.3792463541030884,0.30801066756248474,0.3058653175830841,0.2916829288005829,0.3312763273715973,0.36296042799949646,0.3119819462299347,0.3821120262145996,0.23592078685760498,0.40951117873191833,0.36095473170280457,0.41399481892585754,0.31799760460853577,0.19606193900108337,0.21439692378044128,0.3880739212036133,0.2608011066913605,0.2713095545768738,0.39674779772758484,0.18876072764396667,0.4176945686340332,0.5214785933494568,1.0,0.3300633430480957,0.29536566138267517,0.35819002985954285,0.39920568466186523,0.34814319014549255,0.36383962631225586,0.29681146144866943,0.24298012256622314,0.36547109484672546,0.3003618121147156,0.2767007648944855,0.19651083648204803,0.2711818814277649,0.28749343752861023,0.3474557101726532,0.3985815942287445,0.36022695899009705,0.30629879236221313,0.5017712116241455,0.23735354840755463
63239054-Audio_SP15,0.6422635912895203,0.280195027589798,0.5153847932815552,0.5673223733901978,0.6241646409034729,0.6588917970657349,0.576807975769043,0.7639312744140625,0.6278878450393677,0.2816222906112671,0.5648554563522339,0.4554326832294464,0.4446033835411072,0.46195337176322937,0.2690819799900055,0.5149410367012024,0.21450455486774445,0.3480337858200073,0.387711763381958,0.2836538851261139,0.5275700688362122,0.5175471901893616,0.3300633430480957,1.0,0.49333786964416504,0.6855939030647278,0.5025496482849121,0.3146096169948578,0.6461867094039917,0.4144653379917145,0.5185214877128601,0.7045571804046631,0.40955355763435364,0.3886038064956665,0.46012082695961,0.27547651529312134,0.3076455593109131,0.5824889540672302,0.592797040939331,0.5550254583358765,0.7142450213432312,0.27693337202072144,0.4633273184299469
