,061ea7d0-Audio_SP16,0af9ac47-Audio_SP14,0e6115f2-Audio_SP19,0f786745-Audio_SP20,12c532f8-Audio_SP15,181d5ce9-Audio_SP21,1c403477-Audio_SP13,1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,2e25304d-Audio_SP12,30a90cb2-Audio_SP21,3361ee02-Audio_SP10,34ad326e-Audio_SP7,375a28cd-Audio_SP16,42d56bbf-Audio_SP23,49ae7020-Audio_SP17,501e6487-Audio_SP19,514fc6b6-Audio_SP19,51a17262-Audio_SP18,5278b5b9-Audio_SP15,5586979c-Audio_SP18,5819ce7a-Audio_SP11,5a932187-audio_SP16,63239054-Audio_SP15,713a2f9b-Audio_SP16,7a414497-Audio_SP15,7aee4437-Audio_SP12,7c3c98d2-Audio_SP13,7dec1dd7-Audio_SP13,7e277fda-Audio_SP28,85c7895f-Audio_SP16,919b9bc1-Audio_SP14,9a0c18cb-Audio_SP14,a1a056ce-Audio_SP11,a452055c-Audio_SP11,adad0062-Audio_SP17,c3533b36-Audio_SP16,cafd9c21-Audio_SP27,d4c363bf-Audio_SP13,dbeec025-Audio_SP13,e90f8e4d-Audio_SP22,f061152e-Audio_SP12,fcd45f4d-Audio_SP21
30a90cb2-Audio_SP21,0.49770525097846985,0.5797075033187866,0.5178391337394714,0.5474540591239929,0.2956772744655609,0.5017775297164917,0.6429850459098816,0.6457546949386597,0.556568443775177,0.4781782627105713,1.0,0.25609028339385986,0.27571865916252136,0.381509393453598,0.2739269435405731,0.5404481887817383,0.1915348768234253,0.30896875262260437,0.35744571685791016,0.4945119321346283,0.5180450677871704,0.48516544699668884,0.5098875761032104,0.6181719899177551,0.4643439054489136,0.5537770390510559,0.5868013501167297,0.4364186227321625,0.48204943537712097,0.6144792437553406,0.542451798915863,0.4977344870567322,0.4031301736831665,0.45270875096321106,0.43184950947761536,0.6141074895858765,0.43283578753471375,0.34412384033203125,0.4752733111381531,0.6006900072097778,0.5951894521713257,0.4537130892276764,0.41904905438423157
3361ee02-Audio_SP10,0.25422555208206177,0.29064810276031494,0.2502717077732086,0.26963236927986145,0.23464952409267426,0.49549970030784607,0.2993069291114807,0.1579490453004837,0.2088087499141693,0.1373167335987091,0.25609028339385986,1.0,0.18676860630512238,0.2782880961894989,0.16668812930583954,0.12440580874681473,0.33321332931518555,0.06184249743819237,0.07755109667778015,0.2502087652683258,0.30135977268218994,0.14554953575134277,0.2872419059276581,0.37714090943336487,0.4174462556838989,0.28709644079208374,0.2277015894651413,0.15332594513893127,0.3710263967514038,0.22825802862644196,0.38741955161094666,0.3465690612792969,0.3917912244796753,0.07580164074897766,0.40311139822006226,0.31687092781066895,0.34992003440856934,0.31071150302886963,0.08476851880550385,0.36554813385009766,0.21691223978996277,0.17642350494861603,0.3193129003047943
34ad326e-Audio_SP7,0.15510596334934235,0.23756034672260284,0.1443413347005844,0.2501528859138489,0.1828707754611969,0.2605774700641632,0.2667122185230255,0.25209954380989075,0.1824900209903717,0.12642483413219452,0.27571865916252136,0.18676860630512238,1.0,0.4146530032157898,0.5005360841751099,0.18505190312862396,0.16257068514823914,0.1139005571603775,0.18750856816768646,0.24484127759933472,0.15745079517364502,0.14660334587097168,0.20465286076068878,0.2467622309923172,0.26988694071769714,0.2009839117527008,0.21475118398666382,0.2882210612297058,0.17694339156150818,0.2283046692609787,0.23124827444553375,0.22897008061408997,0.47622808814048767,0.1907811164855957,0.24823030829429626,0.17973928153514862,0.20686928927898407,0.15224650502204895,0.24791423976421356,0.2544989287853241,0.2552165687084198,0.1834217756986618,0.29039281606674194
375a28cd-Audio_SP16,0.3713468909263611,0.36501893401145935,0.2902139127254486,0.487012654542923,0.4955187439918518,0.47291433811187744,0.5100118517875671,0.30564799904823303,0.2593238055706024,0.16761426627635956,0.381509393453598,0.2782880961894989,0.4146530032157898,1.0,0.5143676996231079,0.2253807634115219,0.4714658856391907,0.11831817775964737,0.15348738431930542,0.4521777331829071,0.3990325331687927,0.21965739130973816,0.3711887001991272,0.46953344345092773,0.5101133584976196,0.3943052291870117,0.29798272252082825,0.2286064773797989,0.4567652940750122,0.34370213747024536,0.38572877645492554,0.3691813349723816,0.5630194544792175,0.21790838241577148,0.5560851693153381,0.43515005707740784,0.5340984463691711,0.479642391204834,0.25069132447242737,0.47745445370674133,0.4014785885810852,0.23287749290466309,0.6219690442085266
42d56bbf-Audio_SP23,0.1898072063922882,0.2421242594718933,0.19687743484973907,0.3059636950492859,0.2620825171470642,0.3003838360309601,0.34119653701782227,0.2546614408493042,0.23196862637996674,0.1280679553747177,0.2739269435405731,0.16668812930583954,0.5005360841751099,0.5143676996231079,1.0,0.1643260270357132,0.21637281775474548,0.08057237416505814,0.12686021625995636,0.37863126397132874,0.22469308972358704,0.15365642309188843,0.23026205599308014,0.27556073665618896,0.3523184061050415,0.23355568945407867,0.21583619713783264,0.24815376102924347,0.27056804299354553,0.22758923470973969,0.2962730824947357,0.2785022258758545,0.5927201509475708,0.15812239050865173,0.29572951793670654,0.22979798913002014,0.2719075381755829,0.1926218867301941,0.18224382400512695,0.2876255214214325,0.30313608050346375,0.14693616330623627,0.3389816880226135
49ae7020-Audio_SP17,0.4674186706542969,0.5067285299301147,0.39492887258529663,0.438910573720932,0.23050422966480255,0.30377820134162903,0.4577735364437103,0.6777194738388062,0.4817669987678528,0.6507575511932373,0.5404481887817383,0.12440580874681473,0.18505190312862396,0.2253807634115219,0.1643260270357132,1.0,0.12327764183282852,0.4853336811065674,0.4089583456516266,0.3122366666793823,0.41539186239242554,0.6245895624160767,0.46429020166397095,0.42133021354675293,0.2957499921321869,0.4464723467826843,0.7228680849075317,0.5083783268928528,0.3178674578666687,0.6286719441413879,0.32144254446029663,0.3751961588859558,0.25550663471221924,0.6571523547172546,0.28783008456230164,0.4588368833065033,0.3409194350242615,0.2525680363178253,0.5888076424598694,0.3929571807384491,0.5452005863189697,0.705089271068573,0.3071940541267395
501e6487-Audio_SP19,0.34742146730422974,0.287751168012619,0.3137628138065338,0.41272687911987305,0.6148483157157898,0.4674430191516876,0.38381388783454895,0.18764621019363403,0.22447581589221954,0.13369393348693848,0.1915348768234253,0.33321332931518555,0.16257068514823914,0.4714658856391907,0.21637281775474548,0.12327764183282852,1.0,0.039502132683992386,0.06650049984455109,0.42465877532958984,0.39804840087890625,0.18801620602607727,0.3706681430339813,0.3502451181411743,0.5281878709793091,0.3806416392326355,0.21233630180358887,0.14504759013652802,0.5071746706962585,0.2415608912706375,0.3776494860649109,0.4021337330341339,0.3705790042877197,0.08897750079631805,0.5870160460472107,0.35369640588760376,0.5688288807868958,0.5061632394790649,0.12072297930717468,0.32369062304496765,0.3103402853012085,0.12154021859169006,0.5596186518669128
514fc6b6-Audio_SP19,0.1818976104259491,0.20041173696517944,0.14306914806365967,0.19998565316200256,0.09667184203863144,0.12441790848970413,0.2209545075893402,0.39206376671791077,0.23110099136829376,0.3671528398990631,0.30896875262260437,0.06184249743819237,0.1139005571603775,0.11831817775964737,0.08057237416505814,0.4853336811065674,0.039502132683992386,1.0,0.49217429757118225,0.12696315348148346,0.14886264503002167,0.33033403754234314,0.1857612580060959,0.20414839684963226,0.13257485628128052,0.1809602826833725,0.37435826659202576,0.3711770474910736,0.11146131902933121,0.28862258791923523,0.13468702137470245,0.17125675082206726,0.1490606814622879,0.6475608348846436,0.11857905983924866,0.19944332540035248,0.15508408844470978,0.08732959628105164,0.44032788276672363,0.21276506781578064,0.28456273674964905,0.584214448928833,0.13603071868419647
51a17262-Audio_SP18,0.22504106163978577,0.25832003355026245,0.22004136443138123,0.2609802186489105,0.13258133828639984,0.18566325306892395,0.2888559103012085,0.4229170083999634,0.3091227114200592,0.4068823754787445,0.35744571685791016,0.07755109667778015,0.18750856816768646,0.15348738431930542,0.12686021625995636,0.4089583456516266,0.06650049984455109,0.49217429757118225,1.0,0.19684258103370667,0.20736496150493622,0.41356372833251953,0.2512984871864319,0.24179692566394806,0.20858651399612427,0.23985138535499573,0.3765829801559448,0.434352308511734,0.1666610836982727,0.3652512729167938,0.20854368805885315,0.2557043731212616,0.18234744668006897,0.5299102067947388,0.17518176138401031,0.24298043549060822,0.20978118479251862,0.11922860890626907,0.5557945370674133,0.24632376432418823,0.3592012822628021,0.3877604007720947,0.19723500311374664
5278b5b9-Audio_SP15,0.5079720616340637,0.4814070761203766,0.6544328927993774,0.6647305488586426,0.5166599750518799,0.5962660908699036,0.6426084041595459,0.49770355224609375,0.5973314046859741,0.3381500244140625,0.4945119321346283,0.2502087652683258,0.24484127759933472,0.4521777331829071,0.37863126397132874,0.3122366666793823,0.42465877532958984,0.12696315348148346,0.19684258103370667,1.0,0.5661547183990479,0.38937273621559143,0.5721219182014465,0.5336944460868835,0.6925095915794373,0.6518252491950989,0.4075443744659424,0.3693719804286957,0.6816846132278442,0.47137725353240967,0.7455361485481262,0.6415620446205139,0.4732491970062256,0.2596512734889984,0.6379891633987427,0.54361891746521,0.6000277400016785,0.4486888647079468,0.2911445200443268,0.47225067019462585,0.6273895502090454,0.2416449338197708,0.5633024573326111
